level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2690	917	-1	
2	1	1	0	0	0	199	0	2241	576	-1	
3	1	1	1	0	0	199	0	2241	576	-1	
4	1	1	1	1	0	379	0	1859	48	-1	
5	1	1	1	1	1	379	2	206	37	95.987587	Specification
5	1	1	1	1	2	598	1	89	30	81.925522	F436.
5	1	1	1	1	3	1449	16	49	24	96.775284	not
5	1	1	1	1	4	1511	11	37	28	96.758484	be
5	1	1	1	1	5	1562	11	159	37	95.776749	permitted.
5	1	1	1	1	6	2232	0	6	2	2.622406	/
4	1	1	1	2	0	416	59	2024	59	-1	
5	1	1	1	2	1	416	63	49	29	95.179756	4.4
5	1	1	1	2	2	485	65	71	27	94.583481	Zinc
5	1	1	1	2	3	572	60	146	58	96.900192	Coatings,
5	1	1	1	2	4	735	64	132	36	91.481300	Hot-Dip
5	1	1	1	2	5	881	64	60	28	96.543457	and
5	1	1	1	2	6	952	59	217	59	96.775688	Mechanically
5	1	1	1	2	7	1182	59	172	45	96.439827	Deposited:
5	1	1	1	2	8	1487	77	48	29	96.025314	5.4
5	1	1	1	2	9	1555	77	151	29	96.025314	Chemical
5	1	1	1	2	10	1727	78	131	36	96.937943	analyses
5	1	1	1	2	11	1881	78	73	28	96.937943	shall
5	1	1	1	2	12	1974	78	36	28	96.875725	be
5	1	1	1	2	13	2031	77	164	37	96.786682	performed
5	1	1	1	2	14	2215	78	30	28	96.140800	in
5	1	1	1	2	15	2266	78	174	28	95.962486	accordance
4	1	1	1	3	0	416	109	1900	51	-1	
5	1	1	1	3	1	416	109	76	29	92.563004	4.4.1
5	1	1	1	3	2	515	109	95	29	92.751472	When
5	1	1	1	3	3	634	109	182	29	35.863503	zine-coated
5	1	1	1	3	4	839	109	140	29	96.916389	fasteners
5	1	1	1	3	5	1005	118	46	20	96.915054	are
5	1	1	1	3	6	1075	109	141	37	96.370705	required,
5	1	1	1	3	7	1241	109	47	28	93.277519	the
5	1	1	1	3	8	1312	118	64	28	57.136730	put-
5	1	1	1	3	9	1415	105	30	59	36.463394	—_
5	1	1	1	3	10	1449	123	70	29	93.893349	with
5	1	1	1	3	11	1531	124	65	28	93.893349	Test
5	1	1	1	3	12	1609	123	147	34	95.929962	Methods,
5	1	1	1	3	13	1771	123	150	34	95.929962	Practices,
5	1	1	1	3	14	1937	123	56	29	96.799637	and
5	1	1	1	3	15	2005	123	202	37	96.857933	Terminology
5	1	1	1	3	16	2222	123	94	29	92.985741	A751.
4	1	1	1	4	0	379	155	1613	43	-1	
5	1	1	1	4	1	379	155	101	28	96.584000	chaser
5	1	1	1	4	2	501	155	74	29	96.174797	shall
5	1	1	1	4	3	596	155	112	37	96.718361	specify
5	1	1	1	4	4	729	155	47	28	96.939857	the
5	1	1	1	4	5	797	155	65	28	96.541084	zinc
5	1	1	1	4	6	883	155	115	36	96.097481	coating
5	1	1	1	4	7	1019	163	127	29	96.146545	process,
5	1	1	1	4	8	1168	155	46	28	96.146545	for
5	1	1	1	4	9	1234	155	142	37	96.725182	example,
4	1	1	1	5	0	378	200	1502	53	-1	
5	1	1	1	5	1	378	200	123	38	92.722313	hot-dip,
5	1	1	1	5	2	517	200	210	37	96.440758	mechanically
5	1	1	1	5	3	742	201	159	37	96.459778	deposited,
5	1	1	1	5	4	916	209	33	20	97.006081	or
5	1	1	1	5	5	962	209	39	20	96.443321	no
5	1	1	1	5	6	1014	200	176	38	95.277466	preference.
5	1	1	1	5	7	1449	216	28	29	96.118736	6.
5	1	1	1	5	8	1498	216	194	29	96.698708	Mechanical
5	1	1	1	5	9	1707	216	173	37	96.582176	Properties
4	1	1	1	6	0	1487	283	952	37	-1	
5	1	1	1	6	1	1487	283	45	29	95.662666	6.1
5	1	1	1	6	2	1555	283	148	28	87.334694	Fasteners
5	1	1	1	6	3	1715	283	73	28	96.109444	shall
5	1	1	1	6	4	1798	287	50	24	96.699364	not
5	1	1	1	6	5	1857	283	109	29	96.791069	exceed
5	1	1	1	6	6	1976	283	48	28	96.837135	the
5	1	1	1	6	7	2033	283	160	28	96.175667	maximum
5	1	1	1	6	8	2202	283	136	29	92.894997	hardness
5	1	1	1	6	9	2349	283	90	37	92.760216	speci-
4	1	1	1	7	0	199	328	2241	40	-1	
5	1	1	1	7	1	199	343	5	25	51.289604	{
5	1	1	1	7	2	1449	328	59	29	96.474678	fied
5	1	1	1	7	3	1523	329	30	28	95.967323	in
5	1	1	1	7	4	1569	329	87	28	95.967323	Table
5	1	1	1	7	5	1671	329	27	28	96.519058	2.
5	1	1	1	7	6	1716	329	147	28	96.519058	Fasteners
5	1	1	1	7	7	1880	329	57	28	96.992233	less
5	1	1	1	7	8	1954	329	68	28	96.699295	than
5	1	1	1	7	9	2038	329	77	28	96.320091	three
5	1	1	1	7	10	2132	328	150	29	96.461540	diameters
5	1	1	1	7	11	2298	328	31	29	97.009155	in
5	1	1	1	7	12	2344	328	96	37	96.581802	length
4	1	1	1	8	0	200	369	2239	42	-1	
5	1	1	1	8	1	200	369	65	42	3.854599	Me
5	1	1	1	8	2	1450	374	56	29	96.543625	and
5	1	1	1	8	3	1516	374	79	29	96.945435	studs
5	1	1	1	8	4	1606	374	57	29	96.819954	less
5	1	1	1	8	5	1675	374	67	29	96.845039	than
5	1	1	1	8	6	1752	374	66	29	96.997749	four
5	1	1	1	8	7	1828	374	151	29	96.739304	diameters
5	1	1	1	8	8	1990	374	30	29	96.789330	in
5	1	1	1	8	9	2030	374	99	37	96.816978	length
5	1	1	1	8	10	2139	374	72	29	96.760605	shall
5	1	1	1	8	11	2221	375	73	28	96.602608	have
5	1	1	1	8	12	2305	374	134	29	96.777420	hardness
4	1	1	1	9	0	1387	549	58	27	-1	
5	1	1	1	9	1	1387	549	58	27	96.574051	559
