level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2558	827	-1	
2	1	1	0	0	0	194	49	2353	602	-1	
3	1	1	1	0	0	194	30	2352	254	-1	
4	1	1	1	1	0	195	49	998	38	-1	
5	1	1	1	1	1	195	52	42	35	94.407814	(1)
5	1	1	1	1	2	247	49	105	29	93.669830	Added
5	1	1	1	1	3	372	50	76	29	96.046059	UNS
5	1	1	1	1	4	470	49	182	37	93.278458	designation
5	1	1	1	1	5	673	49	120	29	54.197807	S31740
5	1	1	1	1	6	813	53	30	25	96.243858	to
5	1	1	1	1	7	863	50	77	28	96.559265	Note
5	1	1	1	1	8	960	50	27	33	96.559265	5,
5	1	1	1	1	9	1012	49	103	34	96.393776	18.2.1,
5	1	1	1	1	10	1137	49	56	29	96.393776	and
4	1	1	1	2	0	194	95	2352	41	-1	
5	1	1	1	2	1	194	96	84	30	92.496651	Table
5	1	1	1	2	2	290	95	85	29	87.930580	A1.2.
4	1	1	1	3	0	372	180	2174	58	-1	
5	1	1	1	3	1	372	202	175	29	93.253937	Committee
5	1	1	1	3	2	569	203	64	28	67.815750	AQ1
5	1	1	1	3	3	660	202	53	29	96.022667	has
5	1	1	1	3	4	738	202	151	29	96.022667	identified
5	1	1	1	3	5	912	202	49	28	96.436615	the
5	1	1	1	3	6	985	202	127	28	95.886978	location
5	1	1	1	3	7	1137	202	35	28	96.522636	of
5	1	1	1	3	8	1194	201	127	29	96.556229	selected
5	1	1	1	3	9	1345	201	126	37	96.621399	changes
5	1	1	1	3	10	1496	206	29	24	96.190544	to
5	1	1	1	3	11	1549	201	55	29	96.190544	this
5	1	1	1	3	12	1630	202	134	28	96.270493	standard
5	1	1	1	3	13	1788	201	80	29	96.543953	since
5	1	1	1	3	14	1892	201	48	29	96.882584	the
5	1	1	1	3	15	1963	201	56	29	95.956314	last
5	1	1	1	3	16	2042	201	77	29	96.684013	issue
5	1	1	1	3	17	2544	180	2	56	94.077248	|
4	1	1	1	4	0	335	237	2211	47	-1	
5	1	1	1	4	1	335	247	234	36	92.093010	(A480/A480M
5	1	1	1	4	2	579	265	22	3	88.364410	—
5	1	1	1	4	3	610	248	51	35	96.294731	22)
5	1	1	1	4	4	676	248	60	28	96.713699	that
5	1	1	1	4	5	749	256	68	28	96.843796	may
5	1	1	1	4	6	832	247	109	37	96.081207	impact
5	1	1	1	4	7	954	247	48	29	96.081207	the
5	1	1	1	4	8	1016	256	52	19	96.783951	use
5	1	1	1	4	9	1082	247	35	29	96.939224	of
5	1	1	1	4	10	1128	247	56	29	96.708725	this
5	1	1	1	4	11	1200	247	142	29	96.416145	standard.
5	1	1	1	4	12	1358	247	169	37	96.337502	(Approved
5	1	1	1	4	13	1542	247	76	37	96.569176	Sept.
5	1	1	1	4	14	1638	248	24	33	96.919365	1,
5	1	1	1	4	15	1678	247	100	35	96.868080	2022.)
5	1	1	1	4	16	2545	237	1	47	86.345001	|
3	1	1	2	0	0	196	339	2353	318	-1	
4	1	1	2	1	0	196	354	999	39	-1	
5	1	1	2	1	1	196	357	42	36	93.356293	(1)
5	1	1	2	1	2	248	354	127	30	96.163994	Revised
5	1	1	2	1	3	385	355	204	36	96.308548	Terminology
5	1	1	2	1	4	602	355	131	35	96.624977	(Section
5	1	1	2	1	5	745	355	30	34	96.971832	3)
5	1	1	2	1	6	788	359	30	24	96.749489	to
5	1	1	2	1	7	830	355	118	36	96.554474	comply
5	1	1	2	1	8	960	354	70	29	96.912178	with
5	1	1	2	1	9	1041	355	86	28	96.550690	Form
5	1	1	2	1	10	1139	354	56	29	96.451935	and
4	1	1	2	2	0	196	400	2351	40	-1	
5	1	1	2	2	1	196	401	76	39	96.650475	Style
5	1	1	2	2	2	285	401	129	28	96.232597	Manual.
5	1	1	2	2	3	2546	400	1	17	73.727264	|
4	1	1	2	3	0	1200	624	60	27	-1	
5	1	1	2	3	1	1200	624	60	27	96.671036	810
