level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2558	827	-1	
2	1	1	0	0	0	176	0	2371	679	-1	
3	1	1	1	0	0	176	0	2371	679	-1	
4	1	1	1	1	0	577	0	1966	20	-1	
5	1	1	1	1	1	577	15	66	5	16.406403	oe
5	1	1	1	1	2	812	15	5	5	18.592499	°
5	1	1	1	1	3	908	15	6	5	33.909126	.
5	1	1	1	1	4	1142	15	5	5	39.279827	.
5	1	1	1	1	5	1286	0	115	16	58.082993	DLIV.IT
5	1	1	1	1	6	1419	0	97	17	21.197144	VAiVes
5	1	1	1	1	7	1530	0	128	16	0.000000	Didleeu,
5	1	1	1	1	8	1686	0	143	16	0.000000	LUIedueuy
5	1	1	1	1	9	1844	0	55	16	64.438957	duu
5	1	1	1	1	10	1918	0	107	16	21.861038	YYeluilis
5	1	1	1	1	11	2058	0	64	16	17.269432	iu
5	1	1	1	1	12	2542	13	1	4	40.871910	i
4	1	1	1	2	0	217	0	1827	70	-1	
5	1	1	1	2	1	217	16	41	29	69.604370	1.3
5	1	1	1	2	2	281	16	61	28	92.963753	The
5	1	1	1	2	3	355	16	101	28	96.437599	values
5	1	1	1	2	4	471	15	91	29	96.428337	stated
5	1	1	1	2	5	575	24	30	19	96.453697	in
5	1	1	1	2	6	619	15	90	29	96.352104	either
5	1	1	1	2	7	723	15	33	29	96.729424	SI
5	1	1	1	2	8	769	19	78	24	96.973129	units
5	1	1	1	2	9	861	24	33	20	93.249496	or
5	1	1	1	2	10	906	15	181	37	92.721298	inch-pound
5	1	1	1	2	11	1100	18	76	25	96.011139	units
5	1	1	1	2	12	1286	33	92	29	89.221260	B31.1
5	1	1	1	2	13	1392	34	88	28	93.306190	Power
5	1	1	1	2	14	1507	33	83	37	88.915970	Pipin
5	1	1	1	2	15	1591	0	29	70	0.000000	¢
5	1	1	1	2	16	1659	11	7	10	81.341751	,
5	1	1	1	2	17	2026	0	18	24	50.239647	©
4	1	1	1	3	0	178	60	2366	38	-1	
5	1	1	1	3	1	178	72	45	20	96.935394	are
5	1	1	1	3	2	235	66	29	24	96.575546	to
5	1	1	1	3	3	277	61	37	29	96.575546	be
5	1	1	1	3	4	326	62	140	36	96.392052	regarded
5	1	1	1	3	5	479	61	159	37	96.912880	separately
5	1	1	1	3	6	652	69	30	20	97.020149	as
5	1	1	1	3	7	697	60	143	30	96.563850	standard.
5	1	1	1	3	8	854	61	61	28	96.615486	The
5	1	1	1	3	9	928	61	100	29	96.803520	values
5	1	1	1	3	10	1043	60	91	29	96.997971	stated
5	1	1	1	3	11	1146	60	31	29	96.997971	in
4	1	1	1	4	0	178	102	2366	42	-1	
5	1	1	1	4	1	178	108	69	30	96.625206	each
5	1	1	1	4	2	268	111	109	32	96.555977	system
5	1	1	1	4	3	397	116	68	28	96.001144	may
5	1	1	1	4	4	486	111	51	24	96.984039	not
5	1	1	1	4	5	556	107	38	28	96.932373	be
5	1	1	1	4	6	615	110	83	25	96.605042	exact
5	1	1	1	4	7	718	106	191	38	96.751572	equivalents;
5	1	1	1	4	8	932	106	151	34	96.553490	therefore,
5	1	1	1	4	9	1105	106	72	29	96.729630	each
5	1	1	1	4	10	1244	102	151	42	24.026268	—___
4	1	1	1	5	0	1287	157	1258	31	-1	
5	1	1	1	5	1	1287	157	10	14	73.767471	2
5	1	1	1	5	2	1305	160	42	22	78.097679	For
5	1	1	1	5	3	1357	160	126	22	96.239708	referenced
5	1	1	1	5	4	1493	160	82	22	96.228264	ASTM
5	1	1	1	5	5	1588	160	117	26	96.640572	standards,
5	1	1	1	5	6	1718	160	52	22	96.385925	visit
5	1	1	1	5	7	1781	160	36	22	96.630783	the
5	1	1	1	5	8	1827	160	82	22	96.475311	ASTM
5	1	1	1	5	9	1921	160	97	26	93.289574	website,
5	1	1	1	5	10	2031	163	175	25	92.079048	www.astm.org,
5	1	1	1	5	11	2218	167	25	15	97.006783	or
5	1	1	1	5	12	2543	167	2	15	78.217857	:
4	1	1	1	6	0	1249	196	1296	28	-1	
5	1	1	1	6	1	1249	199	87	19	95.804970	contact
5	1	1	1	6	2	1347	196	83	22	96.751266	ASTM
5	1	1	1	6	3	1443	196	116	22	96.425980	Customer
5	1	1	1	6	4	1572	196	88	22	96.770592	Service
5	1	1	1	6	5	1675	199	21	19	93.302437	at
5	1	1	1	6	6	1710	196	270	28	90.438965	www.astm.org/contact.
5	1	1	1	6	7	1995	196	42	22	96.792412	For
5	1	1	1	6	8	2049	196	86	22	96.448105	Annual
5	1	1	1	6	9	2147	196	61	22	96.448105	Book
5	1	1	1	6	10	2220	196	27	28	95.928497	of
5	1	1	1	6	11	2544	207	1	3	30.159882	|
4	1	1	1	7	0	176	230	2369	35	-1	
5	1	1	1	7	1	176	230	241	35	48.835564	TTT
