level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2552	825	-1	
2	1	1	0	0	0	212	0	2333	674	-1	
3	1	1	1	0	0	212	0	2333	674	-1	
4	1	1	1	1	0	747	0	879	49	-1	
5	1	1	1	1	1	747	0	135	38	96.966736	treatment
5	1	1	1	1	2	892	15	20	22	97.004074	is
5	1	1	1	1	3	924	0	142	49	96.581390	prohibited
5	1	1	1	1	4	1076	14	38	23	96.991737	for
5	1	1	1	1	5	1124	15	78	22	96.660713	ASTM
5	1	1	1	1	6	1214	0	107	37	96.685555	editions
5	1	1	1	1	7	1332	15	68	29	96.509315	prior
5	1	1	1	1	8	1409	18	26	20	95.892136	to
5	1	1	1	1	9	1447	15	32	23	95.892136	07
5	1	1	1	1	10	1619	0	7	2	0.000000	;
4	1	1	1	2	0	780	56	835	30	-1	
5	1	1	1	2	1	780	56	37	30	92.388107	(d)
5	1	1	1	2	2	828	57	104	23	91.920662	K90901
5	1	1	1	2	3	946	56	79	30	91.139885	(F91),
5	1	1	1	2	4	1037	56	71	23	96.844681	other
5	1	1	1	2	5	1118	56	142	30	96.806686	acceptable
5	1	1	1	2	6	1271	56	107	24	96.902840	editions
5	1	1	1	2	7	1389	63	42	16	96.692482	are
5	1	1	1	2	8	1441	56	94	24	96.251343	limited
5	1	1	1	2	9	1545	60	26	20	96.979485	to
5	1	1	1	2	10	1584	57	31	23	96.887093	18
4	1	1	1	3	0	780	98	1759	35	-1	
5	1	1	1	3	1	780	98	35	30	91.118629	(e)
5	1	1	1	3	2	828	99	104	22	92.636940	K91061
5	1	1	1	3	3	946	98	97	30	96.337975	(F911),
5	1	1	1	3	4	1054	98	72	23	96.863327	other
5	1	1	1	3	5	1136	98	141	29	96.449127	acceptable
5	1	1	1	3	6	1289	98	106	23	96.720657	editions
5	1	1	1	3	7	1407	105	41	16	96.869049	are
5	1	1	1	3	8	1459	98	93	23	96.872345	limited
5	1	1	1	3	9	1563	101	25	20	96.773033	to
5	1	1	1	3	10	1601	98	31	23	96.327965	05
5	1	1	1	3	11	1644	105	29	16	96.304497	or
5	1	1	1	3	12	1683	98	62	23	96.962021	later
4	1	1	1	4	0	780	137	1765	33	-1	
5	1	1	1	4	1	780	140	30	30	85.983780	(f)
5	1	1	1	4	2	828	141	66	22	96.202347	Para.
5	1	1	1	4	3	905	141	62	22	96.060684	7.3.1
5	1	1	1	4	4	979	141	20	22	96.060684	is
5	1	1	1	4	5	1010	140	115	29	96.512276	required
5	1	1	1	4	6	1135	139	39	24	96.852745	for
5	1	1	1	4	7	1184	139	78	24	93.299095	Grade
5	1	1	1	4	8	1273	140	94	23	92.408478	F316Ti
5	1	1	1	4	9	1378	140	38	23	96.701653	for
5	1	1	1	4	10	1424	140	78	23	96.502296	ASTM
5	1	1	1	4	11	1514	140	105	23	96.930984	editions
5	1	1	1	4	12	1629	141	68	29	96.898880	prior
5	1	1	1	4	13	1706	143	26	20	89.703491	to
5	1	1	1	4	14	1743	141	58	22	89.703491	-22a
5	1	1	1	4	15	2538	137	7	2	26.123886	:
4	1	1	1	5	0	780	181	1021	31	-1	
5	1	1	1	5	1	780	182	37	30	91.983322	(g)
5	1	1	1	5	2	828	183	84	22	96.606056	Paras.
5	1	1	1	5	3	926	182	73	27	96.606056	6.4.1,
5	1	1	1	5	4	1013	182	73	27	96.309204	6.4.2,
5	1	1	1	5	5	1099	182	50	23	96.548416	and
5	1	1	1	5	6	1162	182	65	23	96.363441	6.4.3
5	1	1	1	5	7	1241	181	138	31	96.603065	regarding
5	1	1	1	5	8	1390	185	71	26	96.409836	parts
5	1	1	1	5	9	1474	182	135	23	95.866051	machined
5	1	1	1	5	10	1622	182	65	23	96.482231	from
5	1	1	1	5	11	1700	182	46	23	96.842789	bar
5	1	1	1	5	12	1758	189	43	16	96.053619	are
4	1	1	1	6	0	748	223	542	30	-1	
5	1	1	1	6	1	748	224	116	29	96.675911	required
5	1	1	1	6	2	875	223	39	24	96.513306	for
5	1	1	1	6	3	923	224	79	23	96.513306	ASTM
5	1	1	1	6	4	1014	224	106	23	96.013641	editions
5	1	1	1	6	5	1131	225	68	28	96.013641	prior
5	1	1	1	6	6	1209	227	26	20	91.408600	to
5	1	1	1	6	7	1247	224	43	22	91.408600	-22
4	1	1	1	7	0	212	282	2328	39	-1	
5	1	1	1	7	1	212	286	233	30	88.801552	SA-192/SA-192M
5	1	1	1	7	2	609	287	32	23	96.979790	17
5	1	1	1	7	3	748	282	116	39	96.951141	Identical
5	1	1	1	7	4	1825	287	32	23	96.932625	88
5	1	1	1	7	5	1868	287	106	29	95.835556	through
5	1	1	1	7	6	1987	287	30	23	95.835556	17
5	1	1	1	7	7	2539	293	1	4	13.734421	;
4	1	1	1	8	0	212	345	2329	38	-1	
5	1	1	1	8	1	212	349	233	30	91.330940	SA-193/SA-193M
5	1	1	1	8	2	608	350	32	22	96.866791	20
5	1	1	1	8	3	748	345	116	38	96.785133	Identical
5	1	1	1	8	4	1827	350	31	23	96.981934	14
5	1	1	1	8	5	1869	349	106	30	96.252518	through
5	1	1	1	8	6	1986	350	31	23	96.252518	20
4	1	1	1	9	0	212	408	1805	39	-1	
5	1	1	1	9	1	212	412	233	30	91.752831	SA-194/SA-194M
5	1	1	1	9	2	608	413	32	22	96.792671	22
5	1	1	1	9	3	748	408	117	39	96.480865	Identical
5	1	1	1	9	4	1827	413	31	22	96.931061	14
5	1	1	1	9	5	1869	412	106	30	96.191353	through
5	1	1	1	9	6	1986	413	31	22	96.812698	22
4	1	1	1	10	0	212	471	1806	39	-1	
5	1	1	1	10	1	212	475	233	30	91.864922	SA-203/SA-203M
5	1	1	1	10	2	609	476	32	22	96.930580	17
5	1	1	1	10	3	748	471	117	39	96.309334	Identical
5	1	1	1	10	4	1826	475	31	23	96.249664	82
5	1	1	1	10	5	1869	475	106	30	95.650856	through
5	1	1	1	10	6	1987	476	31	22	96.793617	17
4	1	1	1	11	0	212	521	2239	51	-1	
5	1	1	1	11	1	212	537	233	30	92.540703	SA-204/SA-204M
5	1	1	1	11	2	609	538	32	23	96.992058	17
5	1	1	1	11	3	749	533	115	39	96.516861	Identical
5	1	1	1	11	4	1549	539	2	2	0.000000	;
5	1	1	1	11	5	1826	538	32	23	96.172623	88
5	1	1	1	11	6	1869	538	107	29	95.741570	through
5	1	1	1	11	7	1988	538	30	23	96.454712	17
5	1	1	1	11	8	2351	521	100	22	18.012054	—
4	1	1	1	12	0	1180	647	79	27	-1	
5	1	1	1	12	1	1180	647	79	27	95.747955	1612
