,excl,,,,excl,,,,,,

1o  to 12.5, excl,4.0,3.0,4.5,3.0,4.5,3.0,5.0,3.0,5.5,3.0,6.5,3.0,7.0,3.0,8.0,3.0,9.0,3.0,12.0,3.0,...,...
12.5 to 15.0, excl,4.0,3.0,4.0,3.0,4.5,3.0,4.5,3.0,5.0,3.0,5.5,3.0,6.0,3.0,7.5,3.0,8.0,3.0,11.0,3.0,...,...
15 to 17.5, excl,3.5,3.0,3.5,3.0,4.0,3.0,4.5,3.0,4.5,3.0,5.0,3.0,5.5,3.0,6.0,3.0,7.0,3.0,9.0,3.0,10.0,3.0
17.5 to 20, excl,3.5,2.5,3.5,2.5,3.5,3.0,4.0,3.0,4.5,3.0,4.5,3.0,5.0,3.0,5.5,3.0,6.0,3.0,8.0,3.0,9.0,3.0
20 to 25, excl,3.5,2.5,3.5,2.5,3.5,3.0,3.5,3.0,4.0,3.0,4.0,3.0,4.5,3.0,5.0,3.0,5.5,3.0,7.0,3.0,8.0,3.0
25 to 30, excl,3.0,2.5,3.5,2.5,3.5,2.5,3.5,3.0,3.5,3.0,3.5,3.0,4.0,3.0,4.5,3.0,5.0,3.0,6.5,3.0,7.0,3.0
30 to 40, excl,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.5,2.0,3.5,2.5,3.5,2.5,4.0,3.0,4.5,3.0,6.0,3.0,6.5,3.0
40 to 81 .7, excl,2.5,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.5,2.0,3.5,2.0,3.5,2.5,3.5,3.0,4.0,3.0,5.5,3.0,6.0,3.0
81.7 to 122.6, excl,2.5,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.5,2.0,3.5,2.0,3.5,2.5,3.5,3.0,3.5,3.0,4.0,3.0,4.5,3.0
122.6 to 163.4, excl,2.5,1.5,2.5,1.5,2.5,1.5,2.5,1.5,2.5,2.0,2.5,2.0,2.5,2.0,2.5,2.0,2.5,2.0,3.0,2.0,3.5,2.0
163.4 to 245.1, excl,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,3.0,1.0,3.5,1.0
245.1 to 409.0, excl,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,3.0,1.0
409.0 to 490.1, excl,2.0,1.0,2.0,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0
490.1 to 613.0, excl,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0
