,excl,,,,,,,,,,
To1⁄4, excl,9110,3⁄4,15/15,11⁄4,1%,11⁄2,1%,13⁄4,Fla,...,...
1⁄4to%, excl,1⁄2,5/a,3⁄4,15/16,11/a,11⁄4,1%,11⁄2,1%,...,...
% to 1⁄2, excl,1⁄2,9/1s,%,%,3⁄4,?la,1,11/a,11⁄4,Fla,21/a
1⁄2to3⁄4, excl,7/15,1⁄2,9/16,%,%,3⁄4,1,1,11/a,11⁄2,2
3⁄4 to 1, excl,7/is,1⁄2,9110,%,%,%,3⁄4,?la,1,1%,13⁄4
1 to 2, excl,%,1⁄2,1⁄2,9/rn,9/16,%,%,5/a,11/16,11/a,11⁄2
2 to 4 excl,5/is,%,7110,1⁄2,1⁄2,1⁄2,1⁄2,9110,%,7la,11/a
4 to 6, excl,%,7/is,1⁄2,1⁄2,9110,9110,%,3⁄4,7/a,7la,1
6 to 8, excl,7110,1⁄2,1⁄2,%,11/10,3⁄4,?la,?la,1,1,1
8 to 10 excl,1⁄2,1⁄2,%,11/15,3⁄4,1o/16,7la,1s11 6,1,1,1
10 to 12, excl,1⁄2,5/a,3⁄4,1s11 6,7la,15/15,1,1,1,1,1
12 to 15, incl,%,3⁄4,13/15,7la,15/16,1,1,1,1,1,...
