Diameter, in.,excl,excl,excl,6,,8,,15
,,,,excl,exci,incl
To 32, excl,1⁄2,3⁄4,3⁄4,3⁄4,,
32 to 84, excl,1⁄2,5/e,7/a,1,11/e,11⁄4
84 to 108, excl,5/e,3⁄4,1,11/s,11⁄4,1%
108 to 130, incl,7/a,1,11/s,11⁄4,1%,11⁄2

1⁄4to%, exci,3⁄4,151,s,11/e,1%,13⁄4,Fis,2,21⁄4,2%,...,...
•Is to 1⁄2, excl,3⁄4,7/s,15/,5,151,a,11/s,15/,a,11⁄2,1%,Fla,23⁄4,31/e
1⁄2to3⁄4, excl,%,3⁄4,13/18,7A,,1,11/e,11⁄4,13/e,1%,21⁄4,3
3⁄4 to 1, excl,5/e,3⁄4,7/a,7/e,'o/10,1,11/e,15/is,11⁄2,2,25/e
1 to 2, excl,9/16,%,3⁄4,''1⁄4•,7/e,16/Je,1,1,1,15/e,21⁄4
2 to 4, exci,1⁄2,•;,.,,y,.,3⁄4,3⁄4,3⁄4,3⁄4,7/a,1,11⁄4,15/e
4 to 6, exci,•!,a,'1⁄4•,3⁄4,3⁄4,7/e,7/e,1o/1s,11/e,11⁄4,11⁄4,11⁄2
6 to 8, excl,%,3⁄4,3⁄4,'5/,e,1,11/e,11⁄4,1o/10,11⁄2,11⁄2,11⁄2
8 to 10, excl,3⁄4,13/,a,1s;,6,1,11/e,11⁄4,15/ia,13/e,11⁄2,11⁄2,11⁄2
10 to 12, excl,3⁄4,151,e,11/e,11⁄4,1o/16,1%,11⁄2,11⁄2,11⁄2,11⁄2,11⁄2
12 to 15, incl,7/s,1,13/,e,15/,a,13/e,11⁄2,11⁄2,11⁄2,11⁄2,11⁄2,11⁄2
