1213,0.13 max,,0.70-1.00 0.07-0.12,0.24-0,33,,
1215,0.09 max,,0.75-1.05 0.04-0.09,0.26-0,35,,
12L13,0.13 max,,0.70-1.00 0.07-0.12,0.24-0,33,,0.15-0.35
12L14,0.15 max,,0.85-1.15 0.04-0.09,0.26-0,35,,0.15-0.35
12L15,0.09 max,,0.75-1.05 0.04-0.09,0.26-0,35,,0.15-0.35
,,,High-Manganese Carbon Steels8 ,c,o,E,F,,,
Grade Designation Former Designation,,Carbon,Manganese,Phosphorous, max,,Sulfur, max
1513,,0.10-0.16,1.10-1.40,0.040,,0.050
1518,,0.15-0.21,1.10-1.40,0.040,,0.050
1522,,0.18-0.24,1.10-1.40,0.040,,0.050
1524 1024,,0.19-0.25,1.35-1.65,0.040,,0.050
1525,,0.23-0.29,0.80-1.10,0.040,,0.050
1526,,0.22-0.29,1.10-1.40,0.040,,0.050
1527 1027,,0.22-0.29,1.20-1.50,0.040,,0.050
1536 1036,,0.30-0.37,1.20-1.50,0.040,,0.050
1541 1041,,0.36-0.44,1,35-1.65,0.040,,0.050
1547,,0.43-0.51,1.35-1,65,0.040,,0.050
1548 1048,,0.44-0.52,1.10-1.40,0.040,,0.050
1551 1051,,0.45-0.56,0.85-1.15,0.040,,0.050
1552 1052,,0.47-0.55,1.20-1.50,0.040,,0.050
1561 1061,,0.55-0.65,0.75-1.05,0.040,,0.050
1566 1066,,0.60-0.71,0.85-1.15,0.040,,0.050
1572 1072,,0.65-0.76,1.00-1.30,0.040,,0.050
,,,Heat Chemical Ranges and Limits, percent,,,
,,Merchant Quality M Series Carbon Steel Bars,,,,
Grade Designation Carbon,,,ManganeseG Phosphorous, max,,,Sulfur, max
M 1008 0.10 max,,,0.25-0.60,0.04,,0.05
M 1010 0.07-0.14,,,0.25-0.60,0.04,,0.05
M 1012 0.09-0.16,,,0.25-0.60,0.04,,0.05
M 1015 0.12-0.19,,,0.25-0.60,0.04,,0.05
M 1017 0.14-0.21,,,0.25-0.60,0.04,,0.05
M 1020 0.17-0.24,,,0.25-0.60,0.04,,0.05
M 1023 0.19-0.27,,,0.25-0.60,0.04,,0.05
M 1025 0.20-0,30,,,0.25-0,60,0.04,,0.05
M 1031 0.26-0,36,,,0.25-0.60,0.04,,0.05
M 1044 0.40-0.50,,,0.25-0.60,0.04,,0.05
