,,,max,max,,,,,
1330,0.28-0.33,1.60-1,90,0.035,0.040,0.15-0.35,,,,
1335,0.33-0.38,1.60-1.90,0.035,0.040,0.15-0.35,,,,
1340,0.38-0.43,1.60-1.90,0.035,0.040,0.15-0.35,,,,
1345,0.43-0.48,1.60-1.90,0:035,0.040,0.15-0.35,,,,
4012,0.09-0.14,0.75-1.00,0.035,0.040,0.15-0.35,,,0.15-0.25,
4023,0.20-0.25,0.70-0.90,0.035,0.040,0.15-0.35,,,0.20-0.30,
4024,0.20-0.25,0.70-0.90,0.035,0.035-0.050,0.15-0.35,,,0.20-0.30,
4027,0.25-0.30,0.70-0.90,0.035,0.040,0.15-0.35,,,0.20-0.30,
4028,0.25-0.30,0.70-0.90,0.035,0.035-0.050,0.15-0.35,,,0.20-0.30,
4032,0.30-0.35,0.70-0.90,0.035,0.040,0.15-0.35,,,0.20-0.30,
4037,0.35-0.40,0.70-0.90,0.035,0.040,0.15-0.35,,,0.20-0.30,
4042,0.40-0.45,0.70-0.90,0.035,0.040,0.15-0.35,,,0.20-0.30,
4047,0.45-0.50,0.70-0.90,0.035,0.040,0.15-0.35,,,0.20-0.30,
4118,0.18-0.23,0.70-0.90,0.035,0.040,0.15-0.35,,0.40-0.60,0.08-0.15,
4120,0.18-0.23,0.90-1.20,0.035,0.040,0.15-0.35,,0.40-0.60,0.13-0.20,
4121,0.18-0.23,0.75-1.00,0.035,0.040,0.15-0.35,,0.45-0.65,0.20-0.30,
4130,0.28-0.33,0.40-0.60,0.035,0.040,0.15-0.35,,0.80-1.10,0.15-0.25,
4135,0.33-0.38,0.70-0.90,0.035,0.040,0.15-0.35,,0.80-1.10,0.15-0.25,
4137,0.35-0.40,0.70-0.90,0.035,0.040,0.15-0.35,,0.80-1.10,0.15-0.25,
4140,0.38-0.43,0.75-1.00,0.035,0.040,0.15-0.35,,0.80-1.10,0.15-0.25,
4142,0.40-0.45,0.75-1.00,0.035,0.040,0.15-0.35,,0.80-1.10,0.15-0.25,
4145,0.43-0.48,0.75-1.00,0.035,0.040,0.15-0.35,,0.80-1.10,0.15-0.25,
4147,0.45-0.50,0.75-1.00,0.035,0.040,0.15-0.35,,0.80-1.10,0.15-0.25,
4150,0.48-0.53,0.75-1.00,0.035,0.040,0.15-0.35,,0.80-1.10,0.15-0.25,
4161,0.56-0.64,0.75-1.00,0.035,0.040,0.15-0.35,,0.70-0.90,0.25-0.35,
4320,0.17-0.22,0.45-0.65,0.035,0.040,0.15-0.35,1.65-2.00,0.40-0.60,0.20-0.30,
4340,0.38-0.43,0.60-0.80,0.035,0.040,0.15-0.35,1.65-2.00,0.70-0.90,0.20-0.30,
E4340,0.38-0.43,0.65-0.85,0.025,0.025,0.15-0.35,1.65-2.00,0.70-0.90,0.20-0.30,
4419,0.18-0.23,0.45-0.65,0.035,0.040,0.15-0.35,,,0.45-0.60,
4422,0.20-0.25,0.70-0.90,0.035,0.040,0.15-0.35,,,0.35-0.45,
4427,0.24-0.29,0.70-0.90,0.035,0.040,0.15-0.35,,,0.35-0.45,
4615,0.13-0.18,0.45-0.65,0.035,0.040,0.15-0.35,1.65-2.00,,0.20-0.30,
4620,0.17-0.22,0.45-0.65,0.035,0.040,0.15-0.35,1.65-2.00,,0.20-0.30,
4621,0.18-0.23,0.70-0.90,0.035,0.040,0.15-0.35,1.65-2.00,,0.20-0.30,
4626,0.24-0.29,0.45-0.65,0.035,0.040,0.15-0.35,0.70-1.00,,0.15-0.25,
4715,0.13-0.18,0.70-0.90,0.035,0.040,0.15-0.35,0.70-1.00,0.45-0.65,0.45-0.60,
4718,0.16-0.21,0.70-0.90,0.035,O.Q40,0.15-0.35,0.90-1.20,0.35-0.55,0.30-0.40,
4720,0.17-0.22,0.50-0.70,0.035,0.040,0.15-0.35,0.90-1.20,0.35-0.55,0.15-0.25,
4815,0.13-0.18,0.40-0.60,0.035,0.040,0.15-0.35,3.25-3.75,,0.20-0.30,
4817,0.15-0.20,0.40-0.60,0.035,0.040,0.15-0.35,3.25-3.75,,0.20-0.30,
4820,0.18-0.23,0.50-0.70,0.035,0.040,0.15-0.35,3.25-3.75,,0.20-0.30,
5015,0.12-0.17,0.30-0.50,0.035,0.040,0.15-0.35,,0.30-0.50,,
5046,0.43-0.48,0.75-1.00,0.035,0.040,0.15-0.35,,0.20-0.35,,
5115,0.13-0.18,0.70-0.90,0.035,0.040,0.15-0.35,,0.70-0.90,,
5120,0.17-0.22,0.70-0.90,0.035,0.040,0.15-0.35,,0.70-0.90,,
5130,0.28-0.33,0.70-0.90,0.035,0.040,0.15-0.35,,0.80-1.10,,
5132,0.30-0.35,0.60-0.80,0.035,0.040,0.15-0.35,,0.75-1.00,,
5135,0.33-0.38,0.60-0.80,0.035,0.040,0.15-0.35,,0.80-1.05,,
5140,0.38-0.43,0.70-0.90,0.035,0.040,0.15-0.35,,0.70-0.90,,
5145,0.43-0.48,0.70-0.90,0.035,0.040,0.15-0.35,,0.70-0.90,,
5147,0.46-0.51,0.70-0.95,0.035,0.040,0.15-0.35,,0.85-1.15,,
5150,0.48-0.53,0.70-0.90,0.035,0.040,0.15-0.35,,0.70-0.90,,
5155,0.51-0.59,0.70-0.90,0.035,0.040,0.15-0.35,,0.70-0.90,,
5160,0.56-0.64,0.75-1.00,0.035,0.040,0.15-0.35,,0.70-0.90,,
