Designator,Designator,Outside,inch Hand Tight Plane,,,Length,,,Length, in. [mm],at Hand,Outside,min., in. [mm],Stand-Off
,,Diameter,,in. [mm],,in. [mm],,,Tight Plane,,Diameter,,,(Number of
,,in. [mm],,,,,,in. [mm],in. [mm],,Threads)
,,D,L,,,L2,,L,,E,,w,NL,A
1/a,6-,o.405[10.3],27 0.1615 [4.1021],,0.2638,,0.3924,0.37360,0.563 [14.3],3⁄4[19],4
,,,,,[6.7005],,[9.9670],[9.48944],,,
1⁄4,8,0.540 [13.7],18 0.2278 [5.7861],,0.4018,,0.5946,0.49163,0. 719 [18.3],11/a [29],51⁄2
,,,,,[10.2057],•,[15.1028],[12.48740],,,
%,10,0.675 [17.1],18 0.240 [6.096],,0.4078,,0.6006,0.62701,0.875 [22.2],11/a [29],5
,,,,,[10.3581],,[15.2552],[15.92605],,,
1⁄2,15,0.840 [21.3],14 0.320 [8.128],,0.5337,,0.7815,0.77843,1.063 [27 .OJ,11⁄2[38],5
,,,,,[13.5560],,[19.8501],[19.77212],,,
3⁄4,20,1.050 [26.7],14 o.339 [8.611 l,,0.5457,,0.7935,0.98887,1.313 [33.4],19/,a [40],5
,,,,,[13.8608],,[20.1549],[25.11730],,,
,25,1.315 [33.4],111⁄2 0.400 [10.160],,0.6828,,0.9845,1.23863,1.576 [40.0],11sAs [49],5
,,,,,[17.3431],,[25.0063],[31.46120],,,
11⁄4,32,1.660 [42.2],111⁄2 0.420 [10.668],,0.7068,,1.0085,1.58338,1.900 [48.3],2 [50],5
,,,,,[17.9527],,[25.6159],[40.21785],,,
11⁄2,40,1.900 [48.3],111⁄2 0.420 [10.668],,0.7235,,1.0252,1.82234,2.200 [55.9],2 [50],51⁄2
,,,,,[18.3769],,[26.0401],[46.28744],,,
2,50,2.375 [60.3],111⁄2 0.436 [11.07 4],,0.7565,,1.0582,2.29627,2.750 [69.8],21/,a [52],51⁄2
,,,,,[19.2151],,[26.8783],[58.32526],,,
21⁄2,65,2.875 [73.0],8 0.682 [17.323],,1.1376,,1.5712,2.76216,3.250 [82.5],31/,a [78],51⁄2
,,,,,[28.8950],,[39.9085],[70.15886],,,
3,80,3.500 [88.9],8 0. 766 [19.456],,1.2000,,1.6337,3.38850,4.000 [101.6],3o/1e [81],51⁄2
,,,,,[30.4800],,[41.4960],[86.06790],,,
31⁄2,90,4.000 [101.6],8 0.821 [20.853],,1.2500,,1.6837,3.88881,4.625 [117.5],35Aa [84],51⁄2
,,,,,[31.7500],,[42.7660],[98.77577],,,
4,100,4.500 [114.3],8 0.844 [21.438],,1.3000,,1.7337,4.38713,5.000 [127.0],37As [87],5
,,,,,[33.0200],,[44.0360],[111 .4331 OJ,,,
5,125,5.563 [141.3],8 0.937 [23.800],,1.4063,,1.8400,5.44929,6.296 [159.9],311Ao [94],5
,,,,,[35.7200],,[46.7360],[138.41200],,,
6,150,6.625 [168.3],8 0.958 [24.333],,1.5125,,1.9462,6.50597,7.390 [187.7],315Ae [100],6
,,,,,[38.4175],,[49.4335],[165.25164],,,
