,Specimen,Specimen,Specimen,48 000,,60 000
0.14,0.180--0.193,0.135-0.145,0.091--0.096,26,,21
0.13,0.167--0.179,0.126-0.134,0.084--0.090,25,,21
0.12,0.154--0.166,0.115-0.125,0.077--0.083,25,,20
0.11,0.141--0.153,0.106-0.114,0.071--0.076,25,,20
0.10,0.127--0.140,0.095-0.105,0.064-0.070,24,,20
0.09,0.114--0.126,0.086-0.094,0.057--0.063,24,,19
0.08,0.100--0.113,0.075-0.085,0.050--0.056,23,,19
0.07,0.087-0.099,0.066--0.074,0.044-0.049,22,,18
0.06,0.074-0.086,0.055-0.065,0.037-0.043,22,,18
0.05,0.061-0.073,0.046-0.054,0.031-0.036,21,,17
0.04,0.047-0.060,0.035-0.045,0.024-0.030,20,,16
0.03,0.034-0.046,0.026-0.034,0.017-0.023,19,,16
0.02,0.020-0.033,0.015-0.025,0.010-0.016,17,,14
0.01 and,0.019 and,0.014 and,0.009 and,15,,12

,Specimen,Specimen,Specimen,330.0,415.0
500 and,26.3 and,20.0 and,13.2 and,36.0,30.0
greater,greater,greater,greater,,
480-499,25.3-26.2,19.2-19.9,12.7-13.1,36.0,30.0
460-479,24.2-25.2,18.4-19.1,12.1-12.6,36.0,29.0
440-459,23.2-24.1,17.6-18.3,11.6-12.0,36.0,29.0
420-439,22.1-23.1,16.8-17.5,11.1-11.5,35.0,29.0
400-419,21.1-22.0,16.0-16.7,10.6-11.0,35.0,29.0
380-399,20.0-21.0,15.2-15.9,10.0-10.5,35.0,28.0
360-379,19.0-19.9,14.4-15.0,9.5-9.9,34.0,28.0
340-359,17.9-18.9,13.6-14.3,9.0-9.4,34.0,28.0
320-339,16.9-17.8,12.8-13.5,8.5-8.9,34.0,27.0
300-319,15.8-16.8,12.0-12.7,7.9-8.4,33.0,27.0
280-299,14.8-15.7,11.2-11.9,7.4-7.8,33.0,27.0
260-279,13.7-14.7,10.4-11.1,6.9-7.3,32.0,26.0
240-259,12.7-13.6,9.6-10.3,6.4-6.8,32.0,26.0
220-239,11.6-12.6,8.8-9.5,5.8-6.3,31.0,26.0
200-219,10.5-11.5,8.0-8.7,5.3-5.7,31.0,25.0
190-199,10.0-10.4,7.6-7.9,5.0-5.2,30.0,25.0
180-189,9.5-9.9,7.2-7.5,4.8-4.9,30.0,24.0
170-179,9.0-9.4,6.8-7.1,4.5-4.7,30.0,24.0
160-169,8.4-8.9,6.4-6.7,4.2-4.4,29.0,24.0
150-159,7.9-8.3,6.0-6.3,4.0-4.1,29.0,24.0
140-149,7.4-7.8,5.6-5.9,3.7-3.9,29.0,23.0
130-139,6.9-7.3,5.2-5.5,3.5-3.6,28.0,23.0
120-129,6.3-6.8,4.8-5.1,3.2-3.4,28.0,23.0
110-119,5.8-6.2,4.4-4.7,2.9-3.1,27.0,22.0
100-109,5.3-5.7,4.0-4.3,2.7-2.8,27.0,22.0
90-99,4.8-5.2,3.6-3.9,2.4-2.6,26.0,21.0
80-89,4.2-4.7,3.2-3.5,2.1-2.3,26.0,21.0
70-79,3.7-4.1,2.8-3.1,1.9-2.0,25.0,21.0
60-69,3.2-3.6,2.4-2.7,1.6-1.8,24.0,20.0
50-59,2.7-3.1,2.0-2.3,,24.0,19.0
40-49,2.1-2.6,1.6-1.9,,23.0,19.0
30-39,1.6-2.0,,,22.0,18.0
