Symbol,nation,,nese,phorus,,,,,num,,ium,Elements
,,,,,LowAllo Steels,,,,,,,
F 1,K12822,0.28,0.60-0.90,0.045,0.045 0.15-0.35,,,,0.44-0.65,,,
F 2°,K12122,0.05-0.21,0.30-0.80,0.040,0.040 0.10-0.60,,,0.50-0.81,0.44-0.65,,,
F 5D,K41545,0.15,0.30-0.60,0.030,0.030 0.50,,0.50,4.0-6.0,0.44-0.65,,,
F 5a0,K42544,0.25,0.60,0.040,0.030 0.50,,0.50,4.0-6.0,0.44-0.65,,,
F9,K90941,0.15,0.30-0.60,0.030,0.030 0.50-1.00,,,8.0-10.0,0.90-1.10,,,
F 10,S33100,0.10-0.20,0.50-0.80,0.040,0.030 1.00-1.40,,19.0-22.0,7.0-9.0,,,,
F 91 Type 1,K90901,0.08-0.12,0.30-0.60,0.020,0.010 0.20-0.50,,0.40,8.0-9.5,0.85-1.05,0.06-0.10,,N 0.03-0.07
,,,,,,,,,,,,Al o.02E
,,,,,,,,,,,,V 0.18-0.25
,,,,,,,,,,,,Ti 0.01E
,,,,,,,,,,,,zro.01E
F 91 Type 2,K90901,0.08-0.12,0.30-0.50E,0.020E,0.005E 0.20-0.40E,,0.20E,8.0-9.5E,0.85-1.05,0.06-0.10 0.01E,,N 0.035-0.070E
,,,,,,,,,,,,Al 0.020E
,,,,,,,,,,,,NIAi ratio, min
,,,,,,,,,,,,4.0
,,,,,,,,,,,,V 0.18-0.25
,,,,,,,,,,,,Zr o.01E
,,,,,,,,,,,,B o.001E
,,,,,,,,,,,,Cu o.10E
,,,,,,,,,,,,W 0.05E
,,,,,,,,,,,,Sn o.010E
,,,,,,,,,,,,As o,010E
,,,,,,,,,,,,Sb 0.003E
F 92,K92460,0.07-0.13,0.30-0.60,0.020,0.010 0.50,,0.40,8.50-9.50,0.30-0.60,0.04-0.09,,V 0.15-0.25
,,,,,,,,,,,,N
,,,,,,,,,,,,0.030-0.070
,,,,,,,,,,,,Al o.02E
,,,,,,,,,,,,W 1.50-2.00
,,,,,,,,,,,,B
,,,,,,,,,,,,0.001-0.006
,,,,,,,,,,,,Ti 0.01E
,,,,,,,,,,,,Zr o.01E
F 93,K91350,0.05-0.10,0.20-0.70,0.020,0.008 0.05-0.50,,0.20,8.50-9.50,,,,V 0.15-0.30
,,,,,,,,,,,,B 0.007-0.015
,,,,,,,,,,,,Al 0.030
,,,,,,,,,,,,W 2.5-3.5
,,,,,,,,,,,,Co 2.5-3.5
,,,,,,,,,,,,N 0.005-0.015
,,,,,,,,,,,,Nb 0.05-0.12
,,,,,,,,,,,,Nd 0.010-0.06
,,,,,,,,,,,,0 0.0050
F 115,K91060,0.08-0.13,0.20-0.50,0.020,0.005 0.15-0.45,,0.25,10.0-11.0,0.40-0.60,0.02-0.06,0.01,V 0.18-0.25
,,,,,,,,,,,,B 0.001
,,,,,,,,,,,,Cu 0.10
,,,,,,,,,,,,Al 0.02
,,,,,,,,,,,,W 0.05
,,,,,,,,,,,,N 0.030-0.070
,,,,,,,,,,,,Zr0.01
,,,,,,,,,,,,As 0.010
,,,,,,,,,,,,Sn 0.010
,,,,,,,,,,,,Sb 0.003
,,,,,,,,,,,,NIAi ratio 4.0
,,,,,,,,,,,,min
,,,,,,,,,,,,CNBP 10.5
F 122,K91271,0.07-0.14,0.70,0.020,0.010 0.50,,0.50,10.00-11.50,0.25-0.60,0.04-,,V 0.15-0.30
,,,,,,,,,,0.10,,B 0.005
,,,,,,,,,,,,N 0.040-0.100
,,,,,,,,,,,,Al 0.02E
,,,,,,,,,,,,Cu 0.30-1.70
,,,,,,,,,,,,W 1.50-2.50
,,,,,,,,,,,,Ti 0.01E
,,,,,,,,,,,,Zr o.01E
F 911,K91061,0.09-0.13,0.30-0.60,0.020,0.010 0.10-0.50,,0.40,8.5-9.5,0.90-1.10,0.060-0.10,...,W 0.90-1.10
,,,,,,,,,,,,Al o.02E
,,,,,,,,,,,,N 0.04-0.09
,,,,,,,,,,,,V 0.18-0.25
,,,,,,,,,,,,B 0.0003-
,,,,,,,,,,,,0.006
,,,,,,,,,,,,Ti 0.01E
,,,,,,,,,,,,Zr o.01E
F 11,K11597,0.05-0.15,0.30-0.60,0.030,0.030 0.50-1.00,,,1.00-1.50,0.44-0.65,,,
Class 1,,,,,,,,,,,,
F 11,K11572,0.10-0.20,0.30-0.80,0.040,0.040 0.50-1.00,,,1.00-1.50,0.44-0.65,,,
