,2, 2HM, and,carbon,0.40 min,1.00,0.04,0.050,0.40,...,. ..,. ..,. ..,. . . . ..,. ..,. ..,. ..,. ..,
,2H,,,,,,,,,,,,,,,,
,3,(501),0.10 min,1.00,0.04,0.030,1.00,4.0-6.0,...,0.40-0.65,...,. .. . ..,. ..,. ..,. ..,. ..,
,,S50100,,,,,,,,,,,,,,,
,6,(410),0.08-0.15,1.00,0.04,0.030,1.00,11.5-13.5,. . .,. ..,...,. . . . ..,. ..,. ..,. ..,. ..,
,,S41000,,,,,,,,,,,,,,,
,6F,(416),0.15,1.25,0.06,0.15 min,1.00,12.0-14.0,...,. ..,. ..,. .. . ..,. ..,. . .,. ..,. ..,
,,S41600,,,,,,,,,,,,,,,
,6F,(416Se),0.15,1.25,0.06,0.060,1.00,12.0-14.0,. . .,. ..,...,. . . . . .,. ..,0.15 min,. ..,. ..,
,,S41623,,,,,,,,,,,,,,,
,7G,7MG,Chromium-,0.38-0.48,0.75-1.0,0.035,0.04,0.15-0.35,0.80-1.10,. . .,0.15-0.25,...,. . . ...,. ..,. . .,. ..,. ..,
,,MolybdenumG,,,,,,,,,,,,,,,
,43,Nickel-,0.38-0.43,0.60-0.85,0.035,0.04,0.15-0.35,0.70-0.90,1.65-2.0,0.20-0.30,...,. . . . . .,. ..,...,. ..,. ..,
,,Chromium,,,,,,,,,,,,,,,
,,Molybdenum,,,,,,,,,,,,,,,
,8,BA,(304),0.08,2.00,0.045,0.030,1.00,18.0-20.0,8.0-11.0,. . .,...,. . . . . .,. ..,. ..,. ..,. ..,
,,S30400,,,,,,,,,,,,,,,~
,BC, BCA,(347),0.08,2.00,0.045,0.030,1.00,17.0-19.0,9.0-12.0,. . .,...,10 X . . .,. ..,. . .,. ..,. ..,3: t,:t
,,S34700,,,,,,,,,,carbon,,,,,=
N,,,,,,,,,,,,content,,,,,,'"Cl
C/1,,,,,,,,,,,,min 1.10,,,,,
0,,,,,,,,,,,,,,,,,c
,BCLN,,(347LN),0.005-,2.00,0.045,0.030,1.00,17.0-19.0,9.0-13.0,. . .,. ..,0.20-0.50, 0.06-0.10,. . .,. ..,...,. ..,
,BCLNA,S34751,0.020,,,,,,,,,15 X,,,,,~
,,,,,,,,,,,,N carbon,,,,,0
,,,,,,,,,,,,content,,,,,,N
,,,,,,,,,,,,,,,,,Ill
,,,,,,,,,,,,min,,,,,
,BCLNCuB,,S34752J,0.005-,2.00,0.035,0.010,0.60,17.0-19.0,10.0-13.0,0.20-1.20,...,0.20-0.50, 0.06-0.12,2.50-3.50,. . .,...,. ..,
,BCLNCuBA,,0.020,,,,,,,,,15 X,,,,,
,,,,,,,,,,,,carbon,,,,,
,,,,,,,,,,,,content,,,,,,
,,,,,,,,,,,,min,,,,,
,BM, BMA,(316),0.08,2.00,0.045,0.030,1.00,16.0-18.0,10.0-14.0,2.00-3.00,...,. . . . . .,. ..,. . .,...,. ..,
,,S31600,,,,,,,,,,,,,,,
,BT, BTA,(321),0.08,2.00,0.045,0.030,1.00,17.0-19.0,9.0-12.0,. . .,5x,. . . 0.10,...,. ..,. ..,. ..,
,,S32100,,,,,,,,,(C+N),,,,,,
,,,,,,,,,,,min -,,,,,,
,,,,,,,,,,,0.70,,,,,,
,,,,,,,,,,,max,,,,,,
,BF, BFA,(303),0.15,2.00,0.2,0.15 min,1.00,17.0-19.0,8.0-10.0,. . .,. ..,. . . ...,. ..,. ..,. ..,. ..,
,,S30300,,,,,,,,,,,,,,,
,BF, BFA,(303Se),0.15,2.00,0.2,0.06,1.00,17.0-19.0,8.0-10.0,. . .,. . .,. . .,...,0.15 min,. ..,. ..,
,,S30323,,,,,,,,,,,,,,,
,BP, SPA,(305),0.12,2.00,0.045,0.030,1.00,17.0-19.0,11.0-13.0,. . .,...,. . . . . .,. ..,. ..,. ..,. ..,
,,S30500,,,,,,,,,,,,,,,
,BN,BNA,(304N),0.08,2.00,0.045,0.030,1.00,18.0-20.0,8.0-11.0,...,. ..,. . . 0.10-0.16,. . .,. ..,. ..,. ..,
,,S30451,,,,,,,,,,,,,,,
,BLN, BLNA,(304LN),0.030,2.00,0.045,0.030,1.00,18.0-20.0,8.0-11.0,. . .,. . .,. . . 0.10-0.16,...,. ..,. ..,. ..,
,,S30453,,,,,,,,,,,,,,,
,BMN, BMNA,(316N),0.08,2.00,0.045,0.030,1.00,16.0-18.0,10.0-13.0,2.00-3.00,...,... 0.10-0.16,. ..,. ..,. ..,. ..,
