5/-16,18.0,0.0524,6 810,,6 290,7 860 7 070,,9 170,7 860
%,16.0,0.0774,10 080,,9 300,11 620 10 460,,13 560,11 620
7/1a,14.0,0.1063,13 820,,12 760,15 940 14 350,,18 600,15 940
1⁄2,13.0,0.1419,18 450,,17 030,21 280 19 160,,24 830,21 280
9/15,12.0,0.182,23 660,,21 840,27 300 24 570,,31 850,27 300
%,11.0,0.226,29 380,,27 120,33 900 30 510,,39 550,33 900
3/4,10.0,0.334,43 420,,40 080,50 100 45 090,,58 450,50 100
7/a,9.0,0.462,60 060,,55 440,69 300 62 370,,80 850,69 300
1,8.0,0.606,78 780,,72 720,90 900 81 810,,106 000,90 900
11/a,8.0,0.79,102 700,,94 800,118 500 106 700,,138 200,118 500
11⁄4,8.0,1.0,130 000,,120 000,150 000 135 000,,175 000,150 000
1%,8.0,1.233,160 200,,148 000,185 000 166 500,,215 800,185 000
11⁄2,8.0,1.492,194 000,,170 040,223 800 201 400,,261 100,223 800
,,,,,,All Tyees of Grade 8, Grades 9C and 9CA,,,
,,,,,,Hea HexH Hex',,,
,,,1⁄4,20.0,0.0316,2 540 2 380,,,
,,,5/15,18.0,0,0524,4 190 3 930,,,
,,,%,16.0,0.0774,6 200 5 810,,,
,,,7/16,14.0,0.1063,8 500 7 970,,,
,,,1⁄2,13.0,0.1419,11 350 10 640,,,
,,,9/15,12.0,0.182,14 560 13 650,,,
,,,5/a,11.0,0.226,18 080 16 950,,,
,,,3/4,10.0,0.334,26 720 25 050,,,
,,,7/s,9.0,0.462,36 960 34 650,,,
,,,1,8.0,0.606,48 480 45 450,,,
,,,11/a,8.0,0.790,63 200 59 250,,,
,,,11⁄4,8.0,1.000,80 000 75 000,,,
,,,1%,8.0,1.233,98 640 92 450,,,
