,,UNS,Strength,,Strength,,in 2 in. or,,
,Grade,,,,,BrinellNickers,Rockwell
,,Designation,min, ksi,min, ksi,50mm,,,
,,,• [MPa],[MPa],min, %8·c,,
,,S30942,86 [590],34 [235],35,219 HBW/,95 HRB
,,,,,,230 HV,
,,S31002,73 [500],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP310S,,S31008,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP310H,,S31009,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP310MoCbN,,S31025,93 [640],39 [270],30,256 HBW/,100 HRB
,,,,,,270 HV,
,,S31035,95 [655],45 [310],40,220 HBW/,96 HRB
,,,,,,230 HV,
TP310Cb,,S31040,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP310HCb,,S31041,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP310HCbN,,S31042,95 [655],43 [295],30,256 HBW,100 HRB
,,S31043,95 [655],43 [295],30,256 HBW,100 HRB
TP310MoLN,,S31050,,,,,
T ,,; 0.25 in. [6 mm],,,84 [580],39 [270],25,217 HBW,95 HRB
t > 0.25 in. [6 mm],,,78 [540],37 [255],25,217 HBW,95 HRB
,,S31060,87 [600],41 [280],40,217 HBW,95 HRB
,,S31254,,,,,
T,,; 0.187 in. [5 mm],,,98 [675],45 [310],35,220 HBW/,96 HRB
,,,,,,230 HV,
T > 0.187 in. [5 mm],,,95 [655],45 [310],35,220 HBW/,96 HRB
,,,,,,230 HV,
,,S31266,109 [750],61 [420],35,,B100
,,S31272,65 [450],29 [200],35,217 HBW,95 HRB
,,S31277,112 [770],52 [360],40,241 HBW,100 HRB
TP316,,S31600,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP316L,,S31603,70 [485],25(170],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP316H,,S31609,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP3161i,,S31635,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP316N,,S31651,80 [550],35 [240],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP317,,S31700,75 [515],30 [205],34,192 HBW/,90 HRB
,,,,,,200 HV,
TP317L,,S31703,75 [515],30 [205],.35,192 HBW/,90 HRB
,,,,,,200 HV,
,,S31725,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
,,S31730,70 [480],25 [175],35,,90 HRB
,,S31740,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
,,S32050,98 [675],48 [330],40,256 HBW,100 HRB
TP321,,S32100,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP321H,,S32109,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
,,S32615,80 [550],32 [220],25,192 HBW/,90 HRB
,,,,,,200 HV,
,,S32716,80 [550],35 [240],35,192 HBW/,90 HRB
,,,,,,200 HV,
,,S33228,73 [500],27 [185],30,192 HBW/,90 HRB
,,,,,,200 HV,
,,S34565,115 [790],60 [415],35,241 HBW,100 HRB
TP347,,S34700,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP347W,,S34705,90 [620],38 [260],30,219 HBW/,95 HRB
,,,,,,230 HV,
TP347H,,S34709,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP347HFG,,S34710,80 [550],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP347LN,,S34751,75 [515],30 [205],35,192 HBW/,90 HRB
