,,,,,,,,,8X(C+N)-0.8, Cb,
,,,,,,,,,min 0.05,
,S44537 0.030,0.8,0.05,0.006,0.1-0.6,20.0-24.0,0.5,0.04,0.5 Al 0.1,
,,,,,,,,,W 1.0-3.0,
,,,,,,,,,Cb 0.2-1.0,
,,,,,,,,,Ti 0.02-0.20,
,,,,,,,,,La 0.04-0.20,
,S44626 XM-33J 0.06,0.75,0.04,0.02,0.75,25.0-27.0,0.50,0.75-1.50 0.04,0.20 Ti 0.20-1.00;,
,,,,,,,,,Ti 7(C+N) min,
,S44627 XM-27J 0.010N,0.4,0.02,0.02,0.40,25.0-27.5,0.50,0.75-1.50 0.015N,0.20 Cb 0.05-0.20,
,,,,,,,,,(Ni + Cu) 0.50,
,S44635 0.025,1.0,0.04,0.03,0.75,24.5-26.0,3.5-4.5,3.5-4.5 0.035,(Ti+Cb) [0.20+4,
,,,,,,,,,(C+N)] min, 0.80,
,,,,,,,,,max,
,S44600 446 0.20,1.5,0.04,0.03,1.00,23.0-27.0,0.75,0.25,,
,S44660 0.030,1.0,0.04,0.03,1.00,25.0-28.0,1.0-3.5,3.0-4.0 0.040,(Ti+Cb) 0.20 -,
,,,,,,,,,1.00, Ti+ Cb,
,,,,,,,,,6x(C+N) min,~
,S44700 0.010,0.3,0.025,0.02,0.20,28.0-30.0,0.15,3.5-4.2 0.020,0.15 (C+N) 0.025,:s: l:1'J
,S44725 0.015,0.4,0.04,0.02,0.040,25.0-28.5,0.30,1.5-2.5 0.018,(Ti+Cb),o:l
w,,,,,,,,,;a:8x(C+N),:g
,,I:>,S44735 0.030,1.0,0.04,0.03,1.00,28.0-30.0,1.00,3.6-4.2 0.045,(Ti+Cb),[;
0\,,,,,,,,,,
,,,,,,,,,0.20-1.00,,
,,,,,,,,,(Ti+Cb) 6x (C+N),~
,,,,,,,,,,N
,,,,,,,,,min,0
,S44800 0.010,0.3,0.025,0.02,0.20,28.0-30.0,2.00-2.50,3.5-4.2 0.020,0.15 (C+N) 0.025,N CJ1
,S46800 0.030,1.0,0.04,0.03,1.00,18.0-20.0,0.50,0.030,Ti 0.07-0.30,
