,Grade,TP439,. . .,. ..,TP430 Ti,XM-27,XM-33A,2Mo,29-4 29-4-2,26-3-3,,25-4-4,...,. ..,. ..,. ..,. ..,TP468,r::.i
,,,,,,,,,,,,,,,,,,,a,
,,,,,,,,,,,,,,,,,,,0:)
,UNS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3:
,Designa-,,,,,,,,,,,,,,,,,,
,lion,S43035,S43932,S415008,S43036,S44627,S44626,S44400,S44700 S44800,S44660,,S44635,S44735,S32803,S40977,S43940,S42035,S46800,
,Element,,,,,,,,Composition, %,,,,,,,,,,
,C, max,0.07,0.030,0.05,0.10,0.01A,0.06,0.025,0.010 0.010,0.030,,0.025,0.030,0.015'--',0.03,0.03,0.08,0.030,
,Mn, max,1.00,1.00,0.5-1.0,1.00,0.40,0.75,1.00,0.30 0.30,1.00,,1.00,1.00,0.5,1.50,1.00,1.00,1.00,
,P, max,0.040,0.040,0.03,0.040,0.02,0.040,0.040,0.025 0.025,0.040,,0.040,0.040,0.020,0.040,0.040,0.045,0.040,
,S, max,0.030,0.030,0.03,0.030,0.02,0.020,0.030,0.020 0.020,0.030,,0.030,0.030,0.005,0.D15,0.015,0.030,0.030,
,Si, max,1.00,1.00,0.60,1.00,0.40,0.75,1.00,0.20 0.20,1.00,,0.75,1.00,0.50,1.00,1.00,1.00,1.00,
,Ni,0.50 max,0.50,3.5-5.5,0.75 max,0.5°max,0.50 max,1.00 max,0.15 max 2.0-2.5,1.Q-3.50,,3.5-4.5,1.00 max,3.0-4.0,0.30-1.00,...,1.0-2.5,0.50,
,Cr,17.00-,17.0-19.0,11.5-14.0,16.00-,25.0-27.5,25.0-27.0,17.5-19.5,28.0-30.0 28.0-30.0,25.0-28.0,,24.5-26.0,28.00-,28.0-,10.50-,17.50-,13.5-,18.00-,
,,,,,,,,,,,,,,29.0,12.50,18.50,15.5,20.00,
,,19.00,,,19.50,,,,,,,,30.00,,,,,,
,Mo,...,...,0.5-1.0,...,0.75-1.50,0.75-1.50,1.75-2.50,3.5-4.2 3.5-4.2,3.0-4.0,,3.5-4.5,3.60-4.20,1.8-2.5,. . .,. . .,0.2-1.2,...,
,Al, max,0.15,0.15,. . .,.. .,...,.. .,...,.. . ...,.. .,,.. .,...,...,. ..,. ..,. ..,. ..,
,Cu, max,...,...,. ..,...,0.2,0.20,...,0.15 0.15,...,,.. .,.. .,. . .,. ..,. . .,...,. ..,
,N, max,0.04,0.030 (Ti,. . .,.. .,0.D15,0.040,0.035,0.020E 0.020E,0.040,,0.035,0.045,0.020,0.030,...,. ..,0.030,
,,,+ Cb),,,,,,,,,,,,,,,,
,,,{0.20 + 4,,,,,,,,,,,,,,,,~
,,,(C + N)l,,,,,,,,,,,,,,,,3:
,,,,,,,,,,,,,,,,,,,!!l
,,,min.;,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,to
,,,0.75 max,,,,,,,,,,,,,,,,
.i:,.,,,,,,,,,,,,,,,,,,,
0,Ti,0.20 + 4,,. . .,5xC,...,7 x (C +,(Ti+ Cb),... ...,(Ti+ Cb),,(Ti+ Cb),(Ti+ Cb),. . .,...,0.10-0.60,0.30-0.50,0.07-0.30,
N,,(C,,,min;,,N),,,=,,=,=,,,,,,~
,,+ N),,,0.75,,put no less,0.20 + 4,,0.20-1.00,,0.20 + 4,0.20-1.00,,,,,,5:
,,min;,,,max,,,,,,,,,,,,,,r::.i
,,,,,,,,,,,,,,,,,,,0
,,1.10,,,,,than,(C+N),,and 6 x,,(C + N),and 6 x,,,,,,N
,,,,,,,,,,,,,,,,,,,r.n
,,max,,,,,0.20,,,,,,,,,,,,
,,,,,,,min;,min;,,(C + N),,min to,(C+N),,,,,,
,,,,,,,1.00,0.80,,,,,,,,,,,
,,,,,,,max,max,,min,,0.80,min,,,,,,
,,,,,,,,,,,,max,,,,,,,
,Cb,...,,. . .,...,0.05-0.20,...,...,.. . ...,...,,.. .,...,0.15-,. . .,(3 x %C,...,0.10-0.60,
,,,,,,,,,,,,,,o.50F,,+ 0.30),,,
