,Group,[mm],in. [mm],Thickness/ %,Over,Under,Thin-Walled Tubes0
1.0,,Up to 1⁄2 [12. 7], excl,±0.005 [0.13],±15,1/a [3],0,
2.0,,1⁄2 to 11⁄2 [12.7 to 38.1), excl,±0.005 [0.13),±10,1/a [3],0,less than 0.065 in. [1.6 mm]
,,,,,,,nominal
,,11⁄2  to 31⁄2 [38.1 to 88.9),,,,,,
3.0,,,±0.010 [0.25],±10,3/16 [5],0,less than 0.095 in. [2.4 mm]
,,excl,,,,,
,,,,,,,nominal
,,31⁄2 to 51⁄2 [88.9 to 139.7),,,,,,
4.0,,,±0.015 [0.38),±10,3/16 [5],0,less than 0.150 in. [3.8 mm]
,,excl,,,,,
,,,,,,,nominal
,,51⁄2 to 8 [139.7 to 203.2),,,,,,
5.0,,,±0.030 [0.76),±10,3/16 [5],0,less than 0.150 in. [3.8 mm]
