,,,,min,,,Reduc- ness,
,,,Diameter or Thickness,,min,lion in 2,,tion of HBW
Type,Condition,Finish,in. [50mm]8 in. [mm],,,,Area c, 0 unless
,,,,,or4D,,
,,,,,min%,,min; % otherwise
,,,,ksi MPa ksi,MPa,,indicated, E
,,,,,,,max
,,,over 1 1⁄2 [38.10] to 13⁄4,95 655 45,310 28,,45
,,,[44.45],,,,
304, 304N, 316, 316N,s,cold-finished,up to 2 [50.8] incl,95 650 75,515 25,,40
304L, 316L,,,,,,,
,,,over 2 to 21⁄2 [50.8 to 63.5],90 620 65,450 30,,40
,,,incl,,,,
,,,over 21⁄2 to 3 [63.5 to 76.2],80 550 55,380 30,,40
,,,incl,,,,
XM-21, S30454,,A,hot-finished or,all,90 620 50,345 30,,50
S31654,,cold-finished,,,,,
XM-21, S30454,B,cold-finished,up to 1 [25.40] incl,145 1000 125,860 15,,45
S31654,,,,,,,
,,,over 1 [25.40] to 11⁄4,135 930 115,795 16,,45
,,,[31.75],,,,
,,,over 11⁄4 [31.75] to 11⁄2,135 895 105,725 17,,45
,,,[38.10],,,,
,,,over 11⁄2 [38.10] to 13⁄4,125 860 100,690 18,,45
,,,[44.45],,,,
S30815,A,hot-finished or,all,87 600 45,310 40,,50
,,cold-finished,,87 600 45,310 40,,50
S31010,A,hot-finished or,all,110 760 75,515 40,,50 330
,,cold-finished,,,,,
S31254,A,hot-finished or,all,95 650 44,300 35,,50
,,cold-finished,,,,,
S31266,A,hot-finished or,all,109 750 61,420 35,,
,,cold-finished,,,,,
S31725,A,hot-finished or,all,75 515 30,205 40,,
,,cold-finished,,,,,
S31726,A,hot-finished or,all,80 550 35,240 40,,
,,cold-finished,,,,,
S31727,A,hot-finished or,all,80 550 36,245 35,,217
,,cold-finished,,,,,
S31730,A,hot-finished or,all,70 480 25,175 35,,90 HRB
,,cold-finished,,,,,
S32053,A,hot-finished or,all,93 640 43,295 40,,217
,,cold-finished,,,,,
S32654,A,hot-finished or,all,109 750 62,430 40,,40 250
,,cold-finished,,,,,
,,,Austenitic-Ferritic Grades,,,,
XM-26,A,hot-finished or,all,90 620 65,450 20,,55
,,cold-finished,,,,,
S31803,A,hot-finished or,all,90 620 65,448 25,,290
,,cold-finished,,,,,
S32056,A,hot-finished or,all,90 620 65,450 18,,302
,,cold-finished,,,,,
S32101,A,hot-finished or,all,94 650 65,450 30,,290
,,cold-finished,,,,,
S32202,A,hot-finished or,all,94 650 65,450 30,,290
,,cold-finished,,,,,
S32205,A,hot-finished or,all,95 655 65,450 25,,290
,,cold-finished,,,,,
S32304,A,hot-finished or,all,87 600 58,400 25,,290
,,cold-finished,,,,,
S32550,A,hot-finished or,all,109 750 80,550 25,,290
,,cold-finished,,,,,
S32550,s,cold-finished,all,125 860 105,720 16,,335
S32750,A,hot-finished or,up to 2 [50.8] incl,116 800 80,550 15,,310
,,cold-finished,over 2 [50.8],110 760 75,515 15,,310
S32760,A,hot-finished or,all,109 750 80,550 25,,310
,,cold-finished,,,,,
S32760,s,cold-finished,all,125 860 105,720 16,,335
S82441,A,hot-finished or,Under 7/16 [11 mm],107 740 78,540 25,,290
,,cold-finished,7/16 and over [11 mm],99 680 70,480 25,,290
,,,Ferritic Grades,,,,
405H,A,hot-finished,all,,,,207
,,cold-finished,all,,,,217
429,A,hot-finished,all,70 480 40,275 20,,45
,,cold-finished,all,70 480 40,275 16,,45
