,TP201LN,S20153,0.03,6.4-,0.045,0.D15,0.75,16.0-,4.0-,...,. ..,. ..,. ..,0.10-,. ..,1.00,. ..,. ..,. ..,,..,
,,,,7.5,,,,17.5,5.0,,,,,0.25,,,,,,,~
,...,S20400,0.030,7.0-,0.045,0.030,1.00,15.0-,1.50-,. . .,. ..,. ..,. ..,0.15-,. ..,. ..,. ..,. . .,. ..,,> w
,,,,9.0,,,,17.0,3.00,,,,,0.30,,,,,,,I-'
,,,,,,,,,,,,,,,,,,,,,N
,TPXM-19,S20910,0.06,4.0-,0.045,0.030,1.00,20.5-,11.5-,1.50-,...,0.10-,. ..,0.20-,0.10-,. ..,. ..,,,,>w
,,,,6.0,,,,23.5,13.5,3.00,,0.30,,0.40,0.30,,,,,,I-' N
,,,,,,,,,,,,,,,,,,,,,_;
,TPXM-10,S21900,0.08,8.0-,0.045,0.030,1.00,19.0-,5.5-,. . .,...,. ..,. ..,0.15-,. ..,. ..,. ..,,,,
,,,,10.0,,,,21.5,7.5,,,,,0.40,,,,,,,
,TPXM-11,S21904,0.04,8.0-,0.045,0.030,1.00,19.0-,5.5-,. . .,...,. ..,. ..,0.15-,. ..,. ..,. ..,,,,
,,,,10.0,,,,21.5,7.5,,,,,0.40,,,,,,,
,TPXM-29,S24000,0.08,11.5-,0.06,0.030,1.00,17.0-,2.3-,. . .,...,. ..,. . .,0.20-,. ..,. ..,. ..,,,,
,,,,14.5,,,,19.0,3.7,,,,,0.40,,,,,,,e;
,,,,,,,,,,,,,,,,,,,,,~
,TP304,S30400,0.08,2.00,0.045,0.030,1.00,18.0-,8.0-,. . .,...,. ..,. . .,. ..,. . .,. ..,. ..,,,,l:'1
,,,,,,,,20.0,11.0,,,,,,,,,,,,C!:I
..i,.,,,,,,,,,,,,,,,,,,,,,
U1,,,,,,,,,,,,,,,,,,,,,
..i,.,TP304L,S30403,0.035D,2.00,0.045,0.030,1.00,18.0-,8.0-,. . .,...,. . .,. . .,. ..,. . .,. ..,. ..,,,,~
,,,,,,,,20.0,13.0,,,,,,,,,,,,!:
,,,,,,,,,,,,,,,,,,,,,N
,TP304H,S30409,0.04-,2.00,0.045,0.030,1.00,18.0-,8.0-,. . .,. . .,. ..,. . .,. ..,. . .,. ..,...,,,,Q
,,,,,,,,,,,,,,,,,,,,,N
,,,0.10,,,,,20.0,11.0,,,,,,,,,,,,<;/1
,. . .,S30415,0.04-,0.80,0.045,0.030,1.00-,18.0-,9.0-,. . .,. . .,. ..,. . .,0.12-,...,. ..,0.03-,,,,
,,,0.06,,,,2.00,19.0,10.0,,,,,0.18,,,0.08,,,,
,. . .,S30416,0.030,2.00,0.045,0.015,0.80-,17.5-,9.0-,0.40-,. . .,. ..,. . .,0.10,...,. . .,. ..,,,,
,,,,,,,2.00,19.5,11.0,0.80,,,,,,,,,,,
,TP304N,S30451,0.08,2.00,0.045,0.030,1.00,18.0-,8.0-,. . .,. . .,. ..,. . .,0.10-,...,. ..,. ..,,,,
,,,,,,,,20.0,11.0,,,,,0.16,,,,,,,
,TP304LN,S30453,0.035,2.00,0.045,0.030,1.00,18.0-,8.0-,. . .,...,. ..,. . .,0.10-,. . .,. ..,. ..,,,,
,,,,,,,,20.0,12.0,,,,,0.16,,,,,,,
,. . .,S30600,0.018,2.00,0.02,0.02,3.7-,17.0-,14.0-,0.20,. . .,. ..,. . .,. ..,...,0.50,. ..,,,,
,,,,,,,4.3,18.5,15.5,,,,,,,max,,,,,
,. . .,S30601,0.D15,0.50-,0.03,0.013,5.0-,17.0-,17.0-,0.20,. . .,. ..,. . .,0.05,. . .,0.35,...,. ..,. ..,. ..,
,,,,0.80,,,5.6,18.0,18.0,,,,,,,,,,,,
,. . .,S30615,0.16-,2.00,0.03,0.03,3.2-,17.0-,13.5-,. . .,. . .,. ..,...,. ..,. ..,. ..,. ..,. ..,0.80-,,
,,,0.24,,,,4.0,19.5,16.0,,,,,,,,,,1.50,,
,. . .,S30815,0.05-,0.80,0.04,0.030,1.40-,20.0-,10.0-,. . .,. ..,. ..,. ..,0.14-,...,. ..,0.03-,,,,
,,,0.10,,,,2.00,22.0,12.0,,,,,0.20,,,0.08,,,,
,TP309S,S30908,0.08,2.00,0.045,0.030,1.00,22.0-,12.0-,0.75,. . .,. ..,. . .,. ..,...,,. ..,,,,
,,,,,,,,24.0,15.0,,,,,,,,,,,,
,TP309H,S30909,0.04-,2.00,0.045,0.030,1.00,22.0-,12.0-,. . .,. ..,. ..,...,. ..,. ..,. ..,,,,,
