Carbon, max,0.30,0.19,0.12,0.30,0.19,0.13,0.20,0.20,0.10
Manganese,0.4Q-1.06A,0.31-0.64,0.50-1.05,0.29-1.06A,0.90 max,0.90 max,0.40-1.06,1.15-1.50,0.60 max
Phosphorus,,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.035,0.025
max,,,,,,,,,
Sulfur, max,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.015,0.025
Silicon,,0.18-0.37,0.08-0.37,0.10 min,0.13-0.32,0.13-0.32,,0.10-0.35,0.35 max
Nickel,,3.18-3.82,0.47-0.98,0.40 max,2.03-2.57,8.40-9.60,1.60-2.24,0.25 max,35.0-37.0
Chromium,,,0.44-1.01,0.30 max,,,,0.15 max,0.50 max
Copper,,,0.40-0.75,0.40 max,,,0.75-1.25,0.15 max,
Aluminum,,,0.04-0.30,,,,,0.06 max,
Vanadium, max,...,,,0.08,,,,0.12,
Columbium,,,,,0.02°,,,,0.05,
max,,,,,,,,,
Molybdenum,,...,,,0.12,,,,0.05,0.50 max
