,ksi MPa,ksi MPa,ksi MPa,ksi MPa,ksi MPa,ksi MPa,ksi MPa
Tensile Strength, min,55 380,65 450,60 415,65 450,100 690,63 435,65 450
Yield Strength, min,30 205,35 240,35 240,35 240,75 520,46 315,35 240
longation in 2 in. or 50 mm (or 4D),,,,,,,,
min,%:,,,,,,,
Basic minimum elongation for walls 5/ 16,35,30,30,30,22,28,18 [Note (l)J
in. [8 mmJ and over in thickness, strip,,,,,,,
tests, and for all small sizes tested in,,,,,,,
full section,,,,,,,
When standard round 2 in. or 50 mm,28,22,22,22,16,,
gage length or proportionally smaller,,,,,,,
size specimen with the gage length,,,,,,,
equal to 4D (4 times the diameter),,,,,,,
is used,,,,,,,
For strip tests, a deduction for each 1/ 32,1.75,1.50,1.50,1.50,1.25,1.50,
in. [0.8 mm] decrease in wall thick-,[Note (2)],[Note (2)],[Note (2)J,[Note (2)J,[Note (2)J,[Note (2)],

5/16 (0.312),8.0,35,30,30,30,22,28
%2 (0.281),7.2,33,28,28,28,21,26
1/4 (0.250),6.4,32,27,27,27,20,25
7/32 (0.219),5.6,30,26,26,26,18,24
3/16 (0.188),4.8,28,24,24,24,17,22
%2 (0.156),4.0,26,22,22,22,16,20
11s (0.125),3.2,25,21,21,21,15,19
%2 (0.094),2.4,23,20,20,20,13,18
1/16 (0.062),1.6,21,18,18,18,12,16

6,E =,48t + 15.00 [£ =,l.87t + 15.00J
7,E =,48t + 15.00 [£ =,l.87t + 15.00J
8,E =,40t + 9.50 [E =,1.56t + 9.50]
9,E =,48t + 13.00 [E =,1.87t + 13.00J
