,tionsA,,,,,,,,,,,,
,,bon,,ganese,,phorus,,max,con,,,denum,nium,bium,,
,,max,max,max,,,,,,,,,
TP201,S20100,0.15,5.5-7.5,0.060,0.030,1.00,3.5-5.5,16.0-18.0,,,,,N 0.25
TP201LN,S20153,0.03,6.4--7.5,0.045,0.015,0.75,4.0-5.0,16.0-17.5,,,,,N 0.10-0.25,
,,,,,,,,,,,,,Cu 1.00
TP304,S30400,0.08,2.00,0.045,0.030,1.00 max,8.0-11.0,18.0-20.0,,,,,
TP304L,S30403,0.035,2.00,0.045,0.030,1.00 max,8.0-12.0,18.0-20.0,,,,,
TP309Cb,S30940,0.08,2.00,0.045,0.030,1.00 max,12.0-16.0,22.0-24.0,,,,,Cb 10 x C min,

TP310Cb,S31040,0.08 2.00,,0.045,0.030 1.00 max,19.0-22.0,24.0-26.0,,,,,,Cb 10 x C min,
,,,,,,,,,,,,,1.10 max
TP310S,S31008,0.08 2.00,,0.045,0.030 1.00 max,19.0-22.0,24.0-26.0,,,,,,
TP316,S31600,0.08 2.00,,0.045,0.030 1.00 max,10.0-14.0,16.0-18.0,2.00-3.00,,,,,
TP316L,S31603,0.035 2.00,,0.045,0.030 1.00 max,10.0-14.0,16.0-18.0,2.00-3.00,,,,,
TP317,S31700,0.08 2.00,,0.045,0.030 1.00 max,11.0-15.0,18.0-20.0,3.0-4.0,,,,,
,S31727,0.030 1.00,,0.03,0.030 1.00 max,14.5-16.5,17.5-19.0,3.8-4.5,,,,,N 0.15-0.21
,,,,,,,,,,,,,Cu2.8-4.0
,S32053,0.030 1.00,,0.03,0.010 1.00 max,24.0-26.0,22.0-24.0,5.0-6.0,...,,,,N 0.17-0.22
TP321,S32100,0.08 2.00,,0.045,B 0.030 1.00 max,9.00-12.0,17.0-20.0,,,,...,,
TP347,S34700,0.08 2.00,,0.045,0.030 1.00 max,9.00-12.0,17.0-19.0,,,,C,,
TP348,S34800,0.08 2.00,,0.045,0.030 1.00 max,9.00-12.0,17.0-19.0,,,,D,,
,S31254,0.020 1.00,,0.03,0.010 0.80 max,17.5-18.5,19.5-19.5,6.0-6.5,,,,,Cu 0.50-1.00
,,,,,,,,,,,,,N 0.18-0.25
,S30815,0.05-0.10 0.80,,0.04,0.030 1.40-2.00,10.0-12.0,20.0-22.0,,,,,0.03-0.08,N 0.14-0.20
,S31725,0.030 2.00,,0.045,0.030 1.00 max,13.5-17.5,18.0-20.0,4.0-5.0,,,,,N 0.020 max
,S31726,0.030 2.00,,0.045,0.030 1.00 max,14.5-17.5,17.0-20.0,4.0-5.0,,,,,N 0.10-0.20
,S34565,0.030 5.0-7.0,,0.03,0.010 1.00 max,16.0-18.0,23.0-25.0,4.0-5.0,,,0.10,,N 0.40-0.60
,,,,,,,,,,,max,,
,N08367,0.030 2.00,,0.04,0.030 1.00 max,23.5-25.5,20.0-22.0,6.0-7.0,,,,,Cu 0.75 max
,,,,,,,,,,,,,Ni 0.18-0.25
,S20400,0.030 7.0-9.0,,0.45,0.030 1.00 max,1.50-3.00,15.0-17.0,,,,,,N 0.15-0.30
,S31266,0.030 2.00-4.00,,0.035,0.020 1.00 max,21.0-24.0,23.0-25.0,5.2-6.2,,,,,Cu 1.00-2.50
