,Number,,,,max,,,

,,max,,,,,,
CP2,J11547,0.10-0.20,0.30-0.61,0.03,0.025,0.10-0.50,0.50-0.81,0.44-0.65
CP5,J42045,0.20,0.30-0.70,0.03,0.025,0.75,4.00-6.50,0.45-0.65
,,max,,,,max,,
CP5b,J51545,0.15,0.30-0.60,0.03,0.025,1.00-2.00,4.00-6.00,0.45-0.65
,,max,,,,,,
CP9,J82090,0.20,0.30-0.65,0.03,0.025,0.25-1.00,8.00-10.00,0.90-1.20
,,max,,,,,,
CP11,J12072,0.05-0.20,0.30-0.80,0.03,0.025,0.60,1.00-1.50,0.44-0.65
,,,,,,max,,
CP12,J11562,0.05-0.15,0.30-0.61,0.03,0.025,0.50,0.80-1.25,0.44-0.65
,,,,,,max,,
CP15,J11522,0.15,0.30-0.60,0.03,0.025,1.15-1.65,,0.44-0.65
,,max,,,,,,
CP21,J31545,0.05-0.15,0.30-0.60,0.03,0.025,0.50,2.65-3.35,0.80-1.06
,,,,,,max,,
CP22,J21890,0.05-0.15,0.30-0.70,0.03,0.025,0.60,2.00-2.75,0.90-1.20
,,,,,,max,,
CPCA15,J91150,0.15,1.00,0.03,0.025,1.50,11.5-14.0,0.50
,,max,max,,,max,,max
