1 /4 [R1/4],7/16 [l0J,1⁄4rn1⁄4J,11/16 [18)
3/s[R3/sJ,1⁄2[13),%rn%J,11/16 [28)
1⁄2 [Rl/2),21/32 [17],1⁄2 [Rl/2),11/4 [32)
%rn%J,%[ 19),%rn%J,2 [52)
1 [Rl),13 /16 [21),1 [Rl],2 /2 [64) 1
11/4 [Rl 1/4),7/a [23),11⁄4 rn11⁄4J,4 [104)
11/2 [Rl 1/2J,15;16 [24),11⁄2 [Rll/2),51⁄4 n36J
2 [R2J,1 [26),2 [R2],81/s [208)

1⁄2 rn1⁄2J, % rn%J,41/s [105),41/a [105),65/a [169),91/2 [242)
1 [Rl], 11/4 [Rl1/4],65/a [169),65/a [169),65/a [169),91/2 [242)
11/2 [Rl 1/2J, 2 [R2],91/2 [242),91/2 [242),91⁄2 [242),91⁄2 [242)
