,Austenitic (Chromium-Nickel),,,
,(Chromium-Nickel-Manganese),,,
All austenitic grades except as listed below,1900 °F [1040 °C],C,X,XD
All Cr-Ni-Mn grades,,1900 °F [1040 °C],E,X,XD
302, S30215, S30452, S30600, S30615, 308, S30815,,,,,
S30880, 309, 309S, 310, 310S, 314,317, S31725,,,,,
S31726,S32615, S38100,,,,
309Cb,310Cb,316Cb,316Ti,321,347,348,E 1900 °F [1040 "CJ,,X,
304H,309H,310H,316H,E 1900 °F [1040 "CJ,,X,
321H, 347H,348H,,,,
Hot-worked,1925 °F [1050 °C],E,X,
Cold-worked,E 2000 °F [1095 °C],,X,
S31254,S32050,2100 °F [1150 °C],E,X,
S31727, S32053,E 1975 to 2155 °F [1080° to 1180 °C],,X,
S33228,2050 to 2140 °F [1120° to 1170 °C],E,X,
S34565,E 2050 to 2140 °F [1120° to 1170 °C],,X,
S34752,1940 to 2140 °F [1060° to 1170 °C],E,X,
S35315,2010 °F [1100 "CJ,E,X,
N08367,2025 °F [1105 °C],E,X,
N08700,2000 °F [1095 °C],E,X,
N08020,1700 to 1850 °F [930 to 101 o °C],E,X,
N08810,2050 °F [1120 "Cl,E,X,
N08811,E 2100 °F [1150 "Cl,,X,
N08904,E 2000 'F [1095 °Cl,,X,
N08925, N08926,2010 to 2100 °F [1100 to 1150 "Cl,E,X,
,Austenitic-Ferritic,,,
,(Du lex),,,
S32100,1900 °F [1040 °C],E,X,XF
S31260,1870° to 201 o °F [1020° to 1100 "Cl,E,X,XF
S31266,2100 °F [1150 °Cl,E,X,
S31803,1900 °F [1040 'CJ,E,X,XF
S32101,1870 °F [1020 "Cl,E,X,XF
S32202,1800 to 1975 °F [980 to 1080 °C],E,X,XF
S32205,1900 °F [1040 °C],G,X,XF
S32304,1800 °F [980 °C],E,X,XF
E S32506,1870° to 2050 °F [1020° to 1120 °Cl,,X,XF
E S32550,1900 'F [1040 °CJ,,X,XF
S32750,E 1880 °F [1025 °CJ,,X,XF
E S32760,2010 °F [1100 °C],,X,XF
E S32808,1925 to 2100 °F [1050 to 1150 'Cl,,X,XF
S32900,1750° ± 25 °F [955°± 15 °C],E,X,XF
E S32906,1830° to 2100 °F [1000° to 1150 'CJ,,X,XF
E 832950,1850° ± 25 °F [1010°± 15 °Cl,,X,XF
S82441,1830 °F [1000 °C],E,X,XF
