,(UNS Number),,,,,,,,,,,,,
,14,0.55,0.80-1.10,0.035,0.035,0.60,1.40-1.75,0.40H,0.20-0.30,0.50H,0.03H,,0.10R,
,A,,,,,,,,,,,,,
,Ni-Mo,,,,,,,,,,,,,
,(J15580),,,,,,,,,,,,,
,16,0.121,2.101,0.02,0.02,0.50,1.00-1.40,0.20G,0.10G,0.20G,0.02G,,0.10G,
,A,,,,,,,,,,,,,
,LowC-Mn-Ni,,,,,,,,,,,,,
,(J31200),,,,,,,,,,,,,
,17,0.05-0.20,0.55-0.70,0.01,0.005,0.20-0.50,3.0-3.80,1.35-1.60,0.35-0.60,0.20,0.03,,,
,A,,,,,,,,,,,,,>
,,,,,,,,,,,,,,1:1)
,Ni-Cr-Mo,,,,,,,,,,,,,3:
,,,,,,,,,,,,,,t!!
,CA15,0.15,1.00,0.035,0.035,1.50,1.00,11.5-14.0,0.50,0.50G,0.05G,,0.10G,=
00 ABCD w,,,,,,,,,,,,,,:g r,
