Previous,,,Tensile Strength,A,Yield Strength/,,,,Thickness,
,Grade,Class,,ksi [MPa],,2 in. [50 mm],of Area,A,Hardness,,
Designation,,,ksi [MPa],at 0.2 % Offset,or4d, %,%,HRC [HB],in.[mm]

1Q,1,B,90-115 [620-795],65 [450],22.0,45,,,
,1,C,90 [620],65 [450],22.0,45,22 [235],,
2N,2,A,85-110 [585-760],53 [365],22.0,35,,,
2Q,2,B,90-115 [620-795],65 [450],22.0,40,,,
,2,C,90 [620] •,65 [450],22.0,_40,22 [235],,
4N,4,A,90-115 [620-795],60 [415],18.0,40,,,
4Q,4,B,10 5-130 [725-895],85 [585],17.0,35,,,
,4,C,90 [620],60 [415],18.0,35,22 [235],,
,4,D,100 [690],75 [515],17.0,35,22 [235],,
4QA,4,E,115 [795],95 [655],15.0,35,,,
6N,6,A,115 [795],80 [550],18.0,30,,,
6Q,6,B,120 [825],95 [655],12.0,25,,,
7Q,7,A,115 [795],100 [690],15.0,30,,2.5 [63.5] max,
SN,8,A,85-110 [585-760],55 [380],20.0,35,,,-~.
8Q,8,B,105 [725],85 [585],17.0,30,,,
,8,C,100 [690],75 [515],17.0,35,22 [235],,
9N,9,A,90 [620],60 [415],18.0,35,,,
9Q,9,B,105 [725],85 [585],16.0,35,,,
,9,C,90 [620],60 [415],18.0,35,22 [235],,
,9,D,100 [690],75 [515],17.0,35,22 [235],,
,9,E,115 [795],95 [655],15.0,35,,,
10N,10,A,100 [690],70 [485],18.0,35,,,
10Q,10,B,125 [860],100 [690],15.0,35,,,
11N,11,A,70-95 [484-655],40 [275],20.0,35,,,
11Q,11,B,105-130 [725-895],85 [585],17.0,35,,,
12N,12,A,70-95 [485-655],40 [275],20.0,35,,,
12Q,12,B,105-130 [725-895],85 [585],17.0,35,,,
13N,13,A,90-115 [620-795],60 [415],18.0,35,,,
13Q,13,B,105-130 [725-895],85 [585],17.0,35,,,
14Q,14,A,120-145 [825-1000],95 [655],14.0,30,,,
16N,16,A,70-95 [485-655],40 [275],22.0,35,,,
,17,A,113 [780],97 [670],15.0,30,,up to 6.0 [150],,
,,,,,,,,incl.,
,17,A,110 [760],94 [650],15.0,30,,over 6.0 [150] to,
,,,,,,,,8.0 [200], incl.,
,17,A,106 [730],91 [625],15.0,30,,over 8.0 [200] to,
,,,,,,,,12.0 [300], incl.,
,17,A,102 [705],88 [605],15.0,30,,over 12.0 [300] to,
,,,,,,,,14.0 [360], incl.,
CA15A,CA15,A,140-170 [965-1170],110-130 [760-895],10.0,25,,,
CA15,CA15,B,90-115 [620-795],65 [450],18.0,30,,,
,CA15,C,90 [620],60 [415],18.0,35,22 [235],,
,CA15,D,100 [690],75 [515],17.0,35,22 [235],,
CA15M,CA15M,A,90-115 [620-795],65 [450],18.0,30,,,
CA6NM,CA6NM,A,110-135 [760-930],80 [550],15.0,35,,,
CA6NM,CA6NM,B,100 [690],75 [515],17.0,35,23 [255]8,,
