,,Wall Thickness,to 0.010 in.,,,
,,,TubingA.B,,[0.13 mm]. max,
,,,[0.26 mm] max,,,
Outside Diameter,,,,,Tubing0 •0,
,,,Tubing8 •0,,,
Range,,,,,,
in. [mm],,,Outside Outside,,Outside,Inside
,,,Diameter,± Diameter,±,,Diameter,±,Diameter,±
Bwg8,,in. [mm],,,,
,,,TolerancesF,,,
,,,in. [mm] in. [mm],,in. [mm],in. [mm]
1⁄2 to 11/a, incl [15 to 30] 16 to 10,,0.065 to 0.134 [1.7 to 3.4],0.0035 [0.09] 0.0035 [0.09],,0.0035 [0.09],0.020 [0.51]
Over 11/a to 2, incl [30 to 50] 16 lo 14,,0.065 to 0.083 [1.7 to 2.1],0.005 [0.13] 0.005 [0.13],,0.005 [0.13],0.021 [0.53]
Over 11/a to 2, incl [30 to 50] 13 to 7,,0.095 to 0.180 [2.4 to 4.6],0.005 [0.13] 0.005 [0.13],,0.005 [0.13),0.025 [0.64)
Over 11/a to 2, incl [30 to 50] 6 to 5,,0.203 to 0.220 [5.2 to 5.6),0.005 [0.13) 0.005 [0.13),,0.005 [0.13],0.029 [0.74]
Over 11/a to 2, incl [30 to 50] 4 to 3,,0.238 to 0.259 [6.0 to 6.6],0.005 [0.13] 0.005 [0.13],,0.005 [0.13],0.039 [0.99)
Over 2 to 21⁄2, incl [50 to 65) 16 to 14,,0.065 to 0.083 [1.7 to 2.1],0.006 [0.15] 0.006 [0.15],,0.006 [0.15],0.022 (0.56)
Over 2 to 21⁄2, incl [50 to 65] 13 to 5,,0.095 to 0.220 [2.4 to 5.6),0.006 [0.15) 0.006 [0.15),,0.006 (0.15],0.024 (0.61]
Over 2 to 21⁄2, incl [50 to 65] 4 to 3,,0.238 to 0.259 [6.0 to 6.6],0.006 [0.15] 0.006 [0.15],,0.006 (0.15],0.040 [1.02]
Over 21⁄2 to 3, incl [65 to 75] 16 to 14,,0.065 to 0.083 [1.7 to 2.1),0.008 [0.20) 0.008 [0.20),,0.008 (0.20),0.024 (0.61]
Over 21⁄2 to 3, incl [65 to 75) 13 to 5,,0.095 to 0.220 [2.4 to 5.6),0.008 [0.20) 0.008 [0.20),,0.008 [0.20),0.026 (0.66]
Over 21⁄2 to 3, incl [65 to 75] 4 to 3,,0.238 to 0.259 [6.0 to 6.6),0.008 [0.20] 0.008 (0.20],,0.008 [0.20],0.040 [1.02]
