,1.83,0.13,0.23,0.10,0.25,0.08,0.28,0.05,0.30,0.05,0.3,0.05,0.3,0.08,0.33,...,. ..,. ..,. ..,
,2.11,0.15,0.25,0.13,0.28,0.10,0.30,0.08,0.33,0.08,0.33,0.08,0.33,0.08,0.33,0.08,0.33,0.08,0.33,
,2.41,0.15,0.25,0.13,0.28,0.10,0.30,0.08,0.33,0.08,0.33,0.08,0.33,0.08,0.33,0.08,0.33,0.08,0.33,
,2.77,0.15,0.25,0.13,0.28,0.10,0.30,0.08,0.33,0.08,0.33,0.08,0.33,0.08,0.33,0.08,0.33,0.08,0.33,
,3.05,0.15,0.25,0.13,0.28,0.10,0.30,0.08,0.33,0.08,0.33,0.08,0.33,0.08,0.33,0.08,0.33,0.08,0.33,i
,3.4,0.15,O.Q1,0.13,0.28,0.10,0.30,0.08,0.33,0.08,0.33,0.08,0.33,0.08,0.33,0.08,0.33,0.08,0.33,tE:I
,3.76,...,. ..,0.15,0.30,0.13,0.33,0.10,0.36,0.1,0.36,0.1,0.36,0.1,0.36,0.10,0.36,0.10,0.36,1:0
co,4.19,...,...,0.15,0.30,0.13,0.33,0.10,0.36,0.1,0.36,0.1,0.36,0.1,0.36,0.10,0.36,0.10,0.36,
U1,,,,,,,,,,,,,,,,,,,,~
w,4.57,...,...,0.16,0.30,0.13,0.33,0.10,,0.36,0.1,0.36,0.1,0.36,0.1,0.36,0.10,0.36,0.10,0.36,
,5.16,...,...,...,. ..,0.18,0.38,0.15,0.41,0.13,0.43,0.13,0.43,0.13,0.43,0.13,0.43,0.13,0.43,~
,5.59,...,...,...,. ..,0.18,0.38,0.15,0.41,0.13,0.43,0.13,0.43,0.13,0.43,0.13,0.43,0.13,0.43,N
,6.05,...,...,...,. ..,0.30,0.51,0.28,0.53,0.25,0.56,0.25,0.56,0.25,0.56,0.25,0.56,0.25,0.56,0 N
,6.58,...,...,...,. ..,0.33,0.53,0.30,0.56,0.28,0.58,0.28,0.58,0.28,0.58,0.28,0.58,0.28,0.58,en
,7.21,...,...,. ..,. ..,0.36,0.56,0.33,0.58,0.3,0.61,0.3,0.61,0.3,0.61,0.30,0.61,0.30,0.61,
,7.62,...,...,...,...,0.38,0.58,0.36,0.61,0.33,0.64,0.33,0.64,0.33,0.64,0.33,0.64,0.33,0.64,
,8.13,...,...,...,. ..,0.41,0.61,0.38,0.64,0.36,0.66,0.36,0.66,0.36,0.66,0.36,0.66,0.36,0.66,
,8.74,...,...,. ..,...,0.43,0.64,0.41,0.66,0.38,0.69,0.38,0.69,0.38,0.69,0.38,0.69,0.38,0.69,
,9.14,...,...,...,. ..,0.43,0.64,0.41,0.66,0.38,0.69,0.38,0.66,0.38,0.66,0.38,0.66,0.38,0.66,
,9.53,...,...,. ..,...,. ..,...,0.41,0.66,0.38,0.69,0.38,0.69,0.38,0.69,0.38,0.69,0.38,0.69,
,10.31,...,. ..,...,. ..,...,...,0.43,0.69,0.41,0.71,0.41,0.71,0.41,0.71,0.41,0.71,0.41,0.71,
,11.13,...,...,. ..,...,. ..,...,0.43,0.69,0.41,0.71,0.41,0.71,0.41,0.71,0.41,0.71,0.41,0.71,~
,11.91,...,. ..,...,...,...,...,. ..,...,0.41,0.71,0.41,0.71,0.41,0.71,0.41,0.71,0.41,0.71,en >--­
,12.7,...,...,...,. ..,...,. ..,...,. ..,0.41,0.71,0.41,0.71,0.41,0.71,0.41,0.71,0.41,0.71,w .......

>--­
w
:s:
