,,,in.,[mm],in.,[mm],,
42 [290]A,42.0,[290],6,[150],all,all,all,all
50 [345jA,50.0,[345],4B,[100]8,all,all,all,all
55 [380],55.0,[380],21⁄2,[64],all,all,all,all
60 [415jA,60.0,[415],21⁄2 C,[64]c,2,[50],all,all
65 [450],65.0,[450],2,[50],2,[50],all,all

,,,,,Flange or Leg,
Flange or,Carbon,,Manganese, 8,Phosphorus,',Sulfur,',,Shapes with Flange

Diameter, Thickness,,,,,,,,Shapes with,
,Shape,,,,,,,[40 mm] Thick and
or Distance,,,,,,,Flange or Leg,
,Flange or,,Carbon,,Manganese, 8,Phosphorus,',Sulfur,',,Shapes with Flange
Between Parallel,,Grade,,,,max,,Thickness to 3 in.,
,Leg,,max,%,max,%,max,%,,,Thickness
Faces, in. [mm],,,,,,%,[75 mm] inclusive,,
,Thickness,,,,,,,,Over 3 in.
Plates and Bars,,,,,,,Sheet Piling,,
,in. [mm],,,,,,,[75 mm]
,,,,,,,Bars, Zees, and,
,,,,,,,Rolled Teesc,
,,,,,,,max,%,range,%
6 [150],all,42 [290],0.21,1.35°,0.030,0.030,0.40,0.15-0.40
4 [100]E,all,50 [345],0.23,1.35°,0.030,0.030,0.40,0.15-0.40
21⁄2 [64]F,all,55 [380],0.25,1.35°,0.030,0.030,0.40,0.15-0.40
21⁄2 [64]F,$2 [50],60 [415],0.26,1.35°,0.030,0.030,0.40,0.15-0.40
>1⁄2-2,>1-2,65 [450],0.23,1.65,0.030,0.030,0.40,0.15-0.40
[13-50],[25-50],,,,,,,
$1⁄2 [13]H,$1,65 [450],0.26,1.35°,0.030,0.030,0.40,G
