UNS Number G40370,G40420,G41370,G41400,G41420,G41450,G43400,G87400,.. .,...
Carbon:,,,,,,,,,
Heat analysis 0.35-0.40,0.40-0.45,0.35-0.40,0.38-0.43,0.40-0.45,0.43-0.48,0.38-0.43,0.38-0.43,0.35-0.40,0.33-0.40
Product analysis 0.33-0.42,0.38-0.47,0.33-0.42,0.36-0.45,0.38-0.47,0.41-0.50,0.36-0.45,0.36-0.45,0.33-0.42,0.31-0.42
Manganese:,,,,,,,,,
Heat analysis 0.70-0.90,0.70-0.90,0.70-0.90,0.75-1.00,0.75-1.00,0.75-1.00,0.60-0.80,0.75-1.00,0.30-0.50,0.30-0.50
Product analysis 0.67-0.93,0.67-0.93,0.67-0.93,0.71-1.04,0.71-1.04,0.71-1.04,0.57-0.83,0.71-1.04,0.27-0.53,0.27-0.53
Phosphorus, max.:,,,,,,,,,
Heat analysis 0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
Product analysis 0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040
Sulfur, max.:,,,,,,,,,
Heat analysis 0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040
Product analysis 0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045
Silicon:,,,,,,,,,
Heat analysis 0.15-0.35,0.15-0.35,0.15-0.35,0.15-0.35,0.15-0.35,0.15-0.35,0.15-0.35,0.15-0.35,0.15-0.35,0.15-0.35
Product analysis 0.13-0.37,0.13-0.37,0.13-0.37,0.13-0.37,0.13-0.37,0.13-0.37,0.13-0.37,0.13-0.37,0.13-0.37,0.13-0.37
Nickel:,,,,,,,,,
A Heat analysis A,A,A,A,A,A,1.65-2.00,0.40-0.70,A,
Product analysis . . .,. . .,...,. . .,. . .,. . .,1.60-2.05,0.37-0.73,. . .,. ..
Chromium:,,,,,,,,,
A Heat analysis A,,0.80-1.10,0.80-1.10,0.80-1.10,0.80-1.10,0.70-0.90,0.40-0.60,0.90-1.20,0.95-1.25
Product analysis ...,. ..,0.75-1.15,0.75-1.15,0.75-1.15,0.75-1.15,0.67-0.93,0.37-0.63,0.85-1.25,0.90-1.30
Molybdenum:,,,,,,,,,
,,,,,,,,A,A
Heat analysis 0.20-0.30,0.20-0.30,0.15-0.25,0.15-0.25,0.15-0.25,0.15-0.25,0.20-0.30,0.20-0.30,,
Product analysis 0.18-0.32,0.18-0.32,0.13-0.27,0.13-0.27,0.13-0.27,0.13-0.27,0.18-0.32,0.18-0.32,. . .,...
Boron:,,,,,,,,,
A Heat analysis A,A,A,A,A,A,A,A,,0.0005-0.003
