,and Grade / Class / Type,Heat-Treatment,Temperature, max,,Temperature,,Temperature,,Heat Treatment
,,Temperature Range °F ["CJ,unless otherwise,max, unless,min,,Temperature
,,,noted,otherwise noted,°F ["CJ,Range °F ["CJ
,,,°F [°CJ,°F [°CJ,,
CA55,A285/A285M (C),11 00-1250 [590-680J,1700 [925J,,,
CB 60,A515/A515M (60),1100-1250 [590-680J,1750 [950J,,,
CB65,A515/A515M (65),1100-1250 [590-680J,1750 [950J,,,
CB 70,A515/A515M (70),1100-1250 [590-680J,1750 [950J,,,
cc 60,A516/A516M (60),1100-1200 [590-650J 0,1700 [925J,1700 [925],1100 [590J0,
CC65,A516/A516M (65),1100-1200 [590-650J 0,1700 [925J,1700 [920],1100 [590]0,
CC70,A516/A516M (70),1100-1200 [590-650]0,1700 [925],1700 [925],1100 [590J0,
CD70,A537/A537M (Cl 1),1100-1250 [590-680],1700 [925],,,
CD80,A537/A537M (Cl 2),1100-1250 [590-680J 0,,1650 [900],1100 [590J,
CFA65,A203/A203M (A),1100-1175 [590-635],1750 [950],,,
CFB 70,A203/A203M (B),1100-1175 [590-635J,1750 [950J,,,
CFD 65,A203/A203M (D),1100-1175 [590-635J,1750 [950],,,
CFE 70,A203/A203M (E),1100-1175 [590-635J,1750 [950J,,,
CG 100,A353/A353M,1025-1085 [550-580J,1650 ± 25,,1050-1125,
,,,[900 ± 15] plusE,,[560-605J,
,,,1450 ± 25 [790 ±,,,
,,,15],,,
CH 100,A553/A553M (Type 1),1025-1085[550-580],,1475-1700,1050-1175,
,,,,[800-925],[560-635t,
CJA 115,A517/A517M (A),1000-1100 [540-590J,,1650-1725,1150 [620J,
,,,,[900-940J,,
CJB 115,A517/A517M (B),1000-1100 [540-590J,,1650-1725,1150 [620],
,,,,[900-940J,,
CJE 115,A517/A517M (E),1000-1100[540-590],,1650-1725,1150 [620J,
,,,,[900-940],,
CJF 115,A517/A517M (F),1000-1100 [540-590J,,1650-1725,1150 [620J,
,,,,[900-940J,,
CJH 115,A517/A517M (H),1000-1100[540-590J,,1650-1725,1150 [620],
,,,,[900-940],,
CJP 115,A517/A517M (P),1000-1100[540-590],,1650-1725,1150 [620J,
,,,,[900-940],,
CK75,A299/A299M (A),1100-1250 [590-680],1700 [925],,,
CP85,A736/A736M (A, Class 3),1000-1175 [540-635],,1725 [940],,1000-1225
