,UNS,S30400,S30403,S30453,S31600,S31603,S31653,S24000 S30451,,S31651,N08367,N08800,N08810,N08811,N08926,S31254,S32654,
,DesignationA,,,,,,,,,,,,,,,,,
Element,....,,,,,,,,,,,,,,,,,
,,,,,,,,Composition, %,,,,,,,,,,
Carbon, max,,0.08,0.035,0.035,0.08,0.035,0.035,0.060 0.08,,0.08,0.030,0.10,0.05-,0.06-,0.020,0.020,0.020,
,,,,,,,,,,,,,0.10,0.10,,,,
Manganese, max8,,2.00,2.00,2.00,2.00,2.00,2.00,11.50- 2.00,,2.00,2.00,1.50,1.50,1.50,2.00,1.00,2.Q-4.0,
,,,,,,,,14.50,,,,,,,,,,
Phosphorus, max,,0.040,0.040,0.040,0.040,0.040,0.040,0.060 0.040,,0.040,0.040,0.045,0.045,0.045,0.03,0.030,0.030,
Sulfur, max,,0.030,0.030,0.030,0.030,0.030,0.030,0.030 0.030,,0.030,0.030,O.Q15,O.Q15,O.Q15,0.01,0.010,0.005,
Silicon, max,,0.75,0.75,0.75,0.75,0.75,0.75,1.00 0.75,,0.75,1.00,1.00,1.00,1.00,0.5,0.80,0.50,
Nickel,,8.00-,8.00-,8.00-,10.00-,10.00-,10.00-,2.25- 8.00-,,10.00-,23.50-,30.0-,30.0-,30.0-,24.00-,17.5-,21.0-,I
,,11.00,13.00,13.00,14.00,15.00,15.00,3.75 11.0,,14.00,25.50,35.0,35.0,35.0,26.00,18.5,23.0,
Chromium,,18.00-,18.00-,18.00-,16.00-,16.00-,16.00-,17.00- 18.0-,,16.0-,20.00-,19.00-,19.00-,19.00-,19.00-,19.5-,24.0-,
,,20.00,20.00,20.00,18.00,18.00,18.00,19.00 20.0,,18.0,22.00,23.0,23.0,23.0,21.00,20.5,25.0,~ ;:.,
Molybdenum,,...,...,...,2.00-,2.00-,2.00-,... ...,,2.00-,6.00-,...,.. .,...,6.0-,6.0-,7.0-,
,,,,,3.00,3.00,3.00,,,3.00,7.00,,,,7.0,6.5,8.0,~
,,,,,,,,,,,,,,,,,,N
Nitrogenc,,...,...,0.10-,...,...,0.10-,0.20- 0.10-,,0.10-,0.16-,...,.. .,...,0.15-,0.16-,0.45-,0
,,,,,,,,,,,,,,,,,,N
,,,,0.16,,,0.16,0.40 0.16,,0.16,0.25,,,,0.25,0.22,0.55,i:n
Copper,,...,...,...,...,. ..,. ..,. .. . ..,,. ..,0.75 max,0.75,0.75,0.75,0.5-1.5,0.50-1.00,0.30-0.60,
litanium,,...,...,...,...,...,. ..,... . ..,,...,...,0.15-,0.15-,0.25-,...,. ..,. ..,
,,,,,,,,,,,,0.60,0.60,0.60D,,,,
Aluminum,,...,...,...,...,. ..,. ..,... ...,,. ..,...,0.15-,0.15-,0.25-,. ..,. ..,...,
,,,,,,,,,,,,0.60,0.60,0.60D,,,,
Others,,...,...,...,,...,...,... . ..,,...,...,Fe,Fe,Fe,. ..,. ..,. ..,
,,,,,,,,,,,,39.5,39.5,39.5,,,,
