,,Post-Weld Heat-Treat,Temperature,,Temperature,,
,ASTM,,,,Tempering Temperature,
Pipe Grade,,Temperature Range (Stress,max unless,max unless,
,Specification,,,,min, °F (°C)
,,Relieving), °F (°C),otherwise noted,,otherwise noted,,
,,,OF (OC),OF (OC),
CM-65,A204/A204M,1100 to 1200 [590 to 650],1700 [925],,
CM-70,A204/A204M,1100 to 1200 [590 to 650],1700 [925],,
CM-75,A204/A204M,1100 to 1200 [590 to 650],1700 [925],,
CMSH-70,A537/A537M,1100 to 1200 [590 to 650],1700 [925],,
CMS-75,A299/A299M,1100 to 1200 [590 to 650],1700 [925],,
B CMSH-80,A537/A537M,1100 to 1200 [590 to 650],,1700 [925],1100 to 1250 [590 to 675]
%CR,A387/A387M,1100 to 1300 [590 to 705],1850 [1010],1700 [925],1150 to 1375 [620 to 745]
1CR,A387/A387M,11 00 to 1350 [590 to 730],1850 [1010],1700 [925],1150 to 1375 [620 to 745]
11⁄4CR,A387/A387M,1100 to 1375 [590 to 745],1850 [1010],1700 [925],1150 to 1375 [620 to 745]
21⁄4CR,A387/A387M,1200 to 1400 [650 to 760],1850 [1010],1700 [925],1250 to 1400 [675 to 760]
3CR,A387/A387M,1200 to 1400 [650 to 760],1850 [1010],1700 [925],1250 to 1400 [675 to 760]
5CR,A387/A387M,1200 to 1400 [650 to 760],1850 [1010],1650 [900],1300 to 1400 [705 to 760]
C 9CR,A387/A387M,1325 to 1375 [715 to 745],,,1325 to 1375 [715 to 745]
91,A387/A387M,1350 to 1420 [730 to 770],1900 to 2000,1900 min,1350 to 1440 [730 to 780]
