,Designation8,Type,Carbon,Manganese,Phosphorus,Sulfur,Silicon,Chromium,Nickel,Aluminum,Molybdenum,Titanium,Copper,Elements,
,,,,,,,,,,,,,,C,
,S17400,630,0.07,1.00,0.040,0.030,1.00,15.00-17.50,3.00-5.00,,,,3.00-5.00,,
,S17700,631,0.09,1.00,0.040,0.030,l.00,16.00-18.00,6.50-7.75,0.75-1.50,,,,,t
,S15700,632,0.09,1.00,0.040,0.030,1.00,14.00-16.00,6.50--7.75,0.75-1.50,2.00--3.00,,,...,3:
,,,,,,,,,,,,,,D,!'!:I
,S35500,634,0.10-0.15,0.50--1.25,0.040,0.030,0.50,15.00-16.00,4.00-5.00,,2.50-3.25,,,,
,,,,,,,,,,,,,,,tl:I
>--',S17600,635,0.08,1.00,0.040,0.030,1.00,16.00-17.50,6.00-7.50,0.40,,0.40--1.20,,...,
>--',,,,,,,,,,,,,,C,
°' CXl,S15500,XM-12,0.07,1.00,0.040,0.030,1.00,14.00-15.50,3.50-5.50,,,,2.50-4.50,£,.~..

,,,,,,,,,,,,,F,~
S45500,XM-16,0.03,0.5,0.015,0.015,0.5,ll.00-12.50,7.50-9.50,,0.50,0.90--1.40,l.50-2.50,,N
,,,,,,,,,,,,,F,c:,
S45503,,0.01,0.5,0.01,0.01,0.2,11.00-12.50,7.50-9.50,,0.50,l.00-1.35,l.50-2.50,,N
,,,,,,,,,,,,,G,U1
S45000,XM-25,0.05,1.0,0.03,0.03,1.0,14.00-16.00,5.00--7.00,,0.50--1.00,,l.25-1.75,,
