,Nominal Composition,ASTM Casting Specification,Designation,Number,Alloy,Number
,11Cr-7Ni,A 743/A 743M,CA6N,J91650,,
,13Cr-4Ni,A 743/A 743M,CA6NM,J91540,F-6NMA,S41500
,13Cr,A 743/A 743M,CA15,J91150,4108,S41000
,13Cr,A 743/A 743M,CA40,J91151,,
,12Cr-Mo-V-W,A 743/A 743M,CA28MWV,J91422,422 8,S42200
,13Cr-Mo,A 743/A 743M,CA15M,J91153,4208,S42000
,13Cr-S,A 743/A 743M,CA40F,J91154,420F 8,S42020
,19Cr-1Ni,A 743/A 743M,CB30,J91803,442 8,S44200
,16Cr-4N i-4Cu,A 747/A 747M,CB7Cu-l,J92180,17.4C,Sl7400
,15Cr-5Ni-3Cu,A 747/A 747M,CB7Cu-2,J92110,15-Sc,Sl5500
,27Cr,A 743/A 743M,CC50,J92615,4468,S44600
,25Cr-5Ni-3Cu-2Mo,A 890/A 890M,lA & CD4MCu,J93370,255C,S32550
,25Cr-5N i-3Cu-2Mo-N,A 890/A 890M,lB & CD4MCuN,J93372,255C,S32550
,25Cr-6N i-2Cu-3Mo-N,A 890/A 890M,lC & CD3MCuN,J93373,255C,S32550
,24Cr-10Ni-3Mo-N,A 890/A 890M,2A & CE8MN,J93345,,
,25Cr-5Ni-2Mo-N,A 890/A 890M,3A & CD6MN,J93371,,
,22Cr-5Ni-3Mo-N,A 890/A 890M,4A & CD3MN,J92205,2205c,S39205
,25Cr-7Ni-4Mo-N,A 890/A 890M,SA & CE3MN,J93404,,
,25Cr-7Ni-Mo-N,A 890/A 890M,6A & CD3MCuWN,J93380,Zeran 100°,S32760
,28Cr-9Ni,A 743/A 743M,CE30,J93423,,
,18Cr-8Ni,A 743/A 743M, A 744/A 744M,CF3,J92500,304L8,S30403
,16Cr-12Ni-2Mo,A 743/A 743M, A 744/A 744M,CF3M,J92800,316L 8,S31603
,16Cr-12Ni-2Mo-N,A 743/A 743M,CF3MN,J92804,316LN 8,S31653
,18Cr-8Ni,A 743/A 743M, A 744/A 744M,CFS,J92600,304 8,S30400
,18Cr-10Ni-Cb,A 743/A 743M, A 744/A 744M,CF8C,J92710,347 8,S34700
,16Cr-12Ni-2Mo,A 743/A 743M, A 744/A 744M,CF8M,J92900,3168,S31600
,18Cr-8 Ni -4S i-N,A 743/A 743M,CFlOSMnN,J92972,NitronicE 60,S21800
,18Cr-8Ni-S,A 743/A 743M,CF16F,J92701,303Se8,S30300
,18Cr-8Ni,A 743/A 743M,CF20,J92602,3028,S30200
,22Cr-13Ni-5Mn,A 743/A 743M,CG6MMN,J93790,Ni tronicE 50,S20910
,18Cr-13Ni-3Mo,A 743/A 743M, A 744/A 744M,CG8M,J93000,317 8,S31700
,21Cr-11Ni,A 743/A 743M,CG12,J93001,308 8,S30800
,23Cr-12Ni,A 743/A 743M,CH20,J93402,3098,S30900
,20Cr-18N i-6 Mo-Cu-N,A 743/A 743M, A 744/A 744M,CIOMCuN,J93254,254 SMOF,S31254
,25Cr-20Ni,A 743/A 743M,Cl<20,J94202,3108,S31000
,24Ni-21Cr-6Mo-N,A 743/A 743M, A 744/A 744M,CN3MN,J94651,AL-6XNG,N08367
,29N i-20Cr-3Cu-2 Mo,A 743/A 743M, A 744/A 744M,CN7M,N08007,Alloy 20c,N08020
,24N i-l 9Cr-3Mo-2Cu,A 743/A 743M, A 744/A 744M,CN7MS,J94650,,
,41N i-22Cr-3Mo-Fe,A 494/A 494M,CU5MCuC,N08826,825,N28820
,61Ni-16Mo-16Cr,A 494/A 494M,CW2M,N26455,C4C,N06455
,59Ni-18Mo-18Cr,A 494/A 494M,CW6M,N30107,,
,60N i-22Cr-9Mo-3.5Cb,A 494/A 494M,CW6MC,N26625,625c,N06625
,55Ni-l 7Mo-16Cr-4W,A 494/A 494M,CW12MW,N30002,cc,Nl0002
,57Ni-13Mo-21Cr,A 494/A 494M,CX2MW,N26022,C22H,N06022
---,74Ni-12Cr-4Bi-4Sn,A 494/A 494M,CY5SnBiM,N26055,,
,72 N i-15Cr-8Fe,A 494/A 494M,CY40,N06040,600c,N06600
,95Ni,A 494/A 494M,CZlOO,N02100,200c,N02200
,63Ni-29Cu-4Si,A 494/A 494M,M25S,N24025,,
,63N i-29Cu-2Cb,A 494/A 494M,M30C,N24130,,
,63 N i-29Cu-Si,A 494/A 494M,M30H,N24030,,
,67Ni-30Cu,A 494/A 494M,M-35-1,N24135,400c,N04400
,67Ni-30Cu,A 494/A 494M,M-35-2,N04020,400c,N04400
,65Ni-28Mo-2Fe,A 494/A 494M,N7M,N30007,B2c,Nl0665
,62Ni-28Mo-5Fe,A 494/A 494M,Nl2MV,N30012,Bc,NlOOOl
