UNS,,Strength,,Strength,,in 2 in. or
,TypeA,,,
Designation,,min, ksi,min,,50mm,
,,[MPa],ksi [MPa],min,%

S31260,,100 [690],65 [450],25.0,,
S31500,,92 [630],64 [440],30.0,290.0,30.0
S31803,,90 [620],65 [450],25.0,290.0,30.0
S32003,,,,,,
ts,,100 [690],70 [485],25.0,290.0,30.0
0.187 in.,,,,,,
[5.00 mm],,,,,,
t>,,95 [655],65 [450],25.0,290.0,30.0
0.187 in.,,,,,,
[5.00 mm],,,,,,
S32101,,,,,,
t:,;,,101 [700],77 [530],30.0,290.0,
0.187 in.,,,,,,
[5.00 mm],,,,,,
t>,,94 [650],65 [450],30.0,290.0,
0.187 in.,,,,,,
[5.00 mm],,,,,,
S32202,,94 [650],65 [450],30.0,290.0,30.0
S32205,2205.0,95 [655],65 [450],25.0,290.0,30.0
S32304,2304.0,87 [600],58 [400],25.0,290.0,30.0
S32506,,90 [620],65 [450],18.0,302.0,32.0
S32520,,112 [770],80 [550],25.0,310.0,
S32550,255.0,110 [760],80 [550],15.0,297.0,31.0
S32707,,133 [920],101 [700],25.0,318.0,34.0
S32750,2507.0,116 [800],80 [550],15.0,300.0,32.0
S327608,,109 [750],80 [550],25.0,310.0,32.0
S32808,,,,,,
t <,,116 [800],80 [550],15.0,310.0,32.0
0.40 in.,,,,,,
[10mm],,,,,,
t;;,,,,101 [700],72 [500],15.0,310.0,32.0
0.40 in.,,,,,,
[10mm],,,,,,
S32900,329.0,90 [620],70 [485],20.0,271.0,28.0
S32906,,,,,,
t<,,116 [800],94 [650],25.0,300.0,32.0
0.40in.,,,,,,
[10mm],,,,,,
t;;,,,,109 [750],80 [550],25.0,300.0,32.0
0.40 in.,,,,,,
[10 mm],,,,,,
S32950,,100 [690],70 [480],20.0,290.0,30.0
S33207,,,,,,
t<,,138 [950],112 [770],15.0,336.0,36.0
0.157 in.,,,,,,
[4mm],,,,,,
t;;,,,,123 [850],101 [700],15.0,336.0,36.0
0.157 in.,,,,,,
[4mm],,,,,,
S39274,,116 [800],80 [550],15.0,310.0,32.0
S39277,,120 [825],90 [620],25.0,290.0,30.0
S81921,,90 [620],65 [450],25.0,290.0,30.0
S82011,,,,,,
t<,,101 [700],75 [515],30.0,293.0,31.0
0.187 in.,,,,,,
[5.00 mm],,,,,,
t;;,,,,95 [655],65 [450],30.0,293.0,31.0
0.187 in.,,,,,,
[5.00 mm],,,,,,
S82121,,94 [650],65 [450],25.0,286.0,30.0
S82441,,,,,,
t <,,107 [740],78 [540],25.0,290.0,
0.4 in.,,,,,,
[10mm],,,,,,
t;;,,,,99 [680],70 [480],25.0,290.0,
0.4 in.,,,,,,
[10mm],,,,,,
S83071,,120 [830],98 [680],25.0,300.0,32.0
S83072,,120 [830],94 [650],25.0,327.0,35.0
