F304H,S30409,0.04-0.10,2.00,0.045,0.030,1.00,8.0-11.0,18.0-20.0,...,...,...,...
F304L,S30403,0.030,2.00,0.045,0.030,1.00,8.0-12.0,18.0-20.0,...,...,...,...
F304N,S30451,0.08,2.00,0.045,0.030,1.00,8.0-11.0,18.0-20.0,...,...,0.10-0.16,...
F304LN,S30453,0.030,2.00,0.045,0.030,1.00,8.0-11.0,18.0-20.0,...,...,0.10-0.16,...
F309H,S30909,0.04-0.10,2.00,0.045,0.030,1.00,12.0-15.0,22.0-24.0,...,...,.. .,...
F310,S31000,0.15,2.00,0.045,0.030,1.00,19.0-22.0,24.0-26.00,...,...,.. .,...
F310H,S31009,0.04-0.10,2.00,0.045,0.030,1.00,19.0-22.0,24.0-26.00,...,...,.. .,...
F316,S31600,0.08,2.00,0.045,0.030,1.00,10.0-14.0,16.0-18.0,2.00-3.00,...,...,...
F316H,S31609,0.04-0.10,2.00,0.045,0.030,1.00,10.0-14.0,16.0-18.0,2.00-3.00,...,...,...
F316L,S31603,0.035,2.00,0.04,0.030,1.00,10.0-15.0,16.0-18.0,2.00-3.00,...,...,...
F316N,S31651,0.08,2.00,0.045,0.030,1.00,10.0-13.0,16.0-18.0,2.00-3.00,...,0.10-0.16,...
F316LN,S31653,0.030,2.00,0.045,0.030,1.00,10.0-13.0,16.0-18.0,2.00-3.00,...,0.10-0.16,...
F70,S31730,0.030,2.00,0.04,0.010,1.00,15.0-16.5,17.0-19.0,3.0-4.0,...,0.045,Cu 4.0-5.0
F321,S32100,0.08,2.00,0.045,0.030,1.00,9.0-12.0,17.0-19.0,...,...,0.10,TI
,,,,,,,,,,,,5x(C+N)-
,,,,,,,,,,,,0.70
F321H,S32109,0.04-0.10,2.00,0.045,0.030,1.00,9.0-12.0,17.0-19.0,...,...,.. .,TI
,,,,,,,,,,,,4x(C+N)-
,,,,,,,,,,,,0.70
F347,S34700,0.08,2.00,0.045,0.030,1.00,9.0-12.0,17.0-19.0,...,10xC-1.108,...,...
F347H,S34709,0.04-0.10,2.00,0.045,0.030,1.00,9.0-12.0,17.0-19.0,...,BxC-1.10,.. .,...
F347LN,S34751,0.005-0.020,2.00,0.045,0.030,1.00,9.0-13.0,17.0-19.0,...,0.20-0.50,0.06-0.10,...
,,,,,,,,,,15xC min,,
F348,S34800,0.08,2.00,0.045,0.030,1.00,9.0-12.0,17.0-19.0,...,10xC-1.10,...,Co 0.020,
,,,,,,,,,,,,Ta 0.10
F348H,S34809,0.04-0.10,2.00,0.045,0.030,1.00,9.0-12.0,17.0-19.0,...,SxC-1.10,.. .,Co 0.020,
,,,,,,,,,,,,Ta 0.10
FXM-19,S20910,0.06,4.0-6.0,0.045,0.030,1.00,11.5-13.5,20.5-23.5,1.50-3.00,0.10-0.30,0.20-0.40,V 0.10-0.30
FXM-11,S21904,0.04,8.0-10.0,0.045,0.030,1.00,5.5-7.5,19.0-21.5,...,...,0.15-0.40,...
F20,N08020,0.07,2.00,0.045,0.035,1.00,32.0-38.0,19.0-21.0,2.00-3.00,8xC,...,Cu 3.0-4.0
,,,,,,,,,,min-1.00,,
F46,S30600,0.D18,2.00,0.02,0.020,3.7-4.3,14.0-15.5,17.0-18.5,0.20,...,...,Cu 0.50
F62,N08367,0.030,2.00,0.04,0.030,1.00,23.5-25.5,20.0-22.0,6.0-7.0,...,0.18-0.25,...
F904L,N08904,0.020,2.00,0.04,0.030,1.00,23.0-28.0,19.0-23.0,4.0-5.0,...,0.10,Cu 1.00-2.00
F700,N08700,0.04,2.00,0.04,0.030,1.00,24.0-26.0,19.0-23.0,4.3-5.0,axe min,...,Cu 0.50
,,,,,,,,,,0.40 max,,
FNIC,N08800,0.10,1.50,0.045,0.D15,1.00,30.0-35.0,19.0-23.0,...,...,...,TI 0.15-0.60
,,,,,,,,,,,,Al 0.15-0.60
,,,,,,,,,,,,Cu 0.75
,,,,,,,,,,,,Fe 39.5 min
FNIC10,N08810,0.05-0.10,1.50,0.045,0.D15,1.00,30.0-35.0,19.0-23.0,...,...,...,TI 0.15-0.60
,,,,,,,,,,,,Al 0.15-0.60
,,,,,,,,,,,,Cu 0.75
,,,,,,,,,,,,Fe 39.5 min
FNIC11,N08811,0.06-0.10,1.50,0.04,0.D15,1.00,30.0-35.0,19.0-23.0,...,...,...,Ti 0.25-0.60°
,,,,,,,,,,,,Al 0.25-0.60°
,,,,,,,,,,,,Cu 0.75
,,,,,,,,,,,,Fe 39.5 min
F1925,N08925,0.020,1.00,0.045,0.030,0.50,24.0-26.0,19.0-21.0,6.0-7.0,...,0.10-0.20°,Cu 0.80-1.50
F1925N,N08926,0.020,2.00,0.03,0.010,0.50,24.0-26.0,19.0-21.0,6.0-7.0,...,0.15-0.25D,Cu 0.50-1.50
