DS Types A and B,22-35,[150-240],.a:36,1.3-1.7,0.17-0.22
DDS,17-29,[115-200],.a:38,1.4-1.8,0.20-0.25
EDDS,15-25,[105-170],.a:40,1.7-2.1,0.23-0.27

,,,,,min,
SS:,,,,,
Grade 25 [170],25.0,[170],42.0,[290],26
Grade 30 [205],30.0,[205],45.0,[310],24
Grade 33 [230] Types 1 and 2,33.0,[230],48.0,[330],22
Grade 40 [275] Types 1 and 2,40.0,[275],52.0,[360],20
Grade 45 [310],45.0,[310],60.0,[410],20
Grade 50 [340],50.0,[340],65.0,[450],18
Grade 60 [410],60.0,[410],75.0,[520],12
Grade 70 [480],70.0,[480],85.0,[585],6
Grade 80 [550],808.0,[550],82.0,[565],C
HSLAS:,,,,,
Grade 45 [310] Class 1,45.0,[310],60.0,[410],22
Grade 45 [310] Class 2,45.0,[310],55.0,[380],22
Grade 50 [340] Class 1,50.0,[340],65.0,[450],20
Grade 50 [340] Class 2,50.0,[340],60.0,[410],20
Grade 55 [380] Class 1,55.0,[380],70.0,[480],18
Grade 55 [380] Class 2,55.0,[380],65.0,[450],18
Grade 60 [41 OJ Class 1,60.0,[410],75.0,[520],16
Grade 60 [410] Class 2,60.0,[410],70.0,[480],16
Grade 65 [450] Class 1,65.0,[450],80.0,[550],15
Grade 65 [450] Class 2,65.0,[450],75.0,[520],15
Grade 70 [480] Class 1,70.0,[480],85.0,[585],14
Grade 70 [480] Class 2,70.0,[480],80.0,[550],14
HSLAS-F:,,,,,
Grade 50 [340],50.0,[340],60.0,[410],22
Grade 60 [410],60.0,[410],70.0,[480],18
Grade 70 [480],70.0,[480],80.0,[550],16
Grade 80 [550],80.0,[550],90.0,[620],14
