,,Cold Bending
Structural Steel,,
,25 [170],1⁄2I
,30 [205],1t
,33 [230],11⁄2 I
,40 [275],21
,45 [310],21⁄2 I
,50 [340],21⁄2 I
,60 [410],3 I
,70 [480],4 I
,80 [550],not applicable
High-strength Low-alloy,,Class 1 Class 2
Steel,,
,45 [310],11⁄2 I 11⁄2 I
,50 [340],21 11⁄2 I
,55 [380],2 I 2 I
,60[410],21⁄2 I 2 I
,65 [450],3 I 21⁄2 I
,70 [480],31⁄2 I 3 I
High-strength Low-alloy,,
Steel with Improved,,
Formability,,
,50 [340],1 I
,60[410],11⁄2 I
,70 [480],2 I
,80 [550],2 I
olution Hardened Steel,,
,26 [180],1⁄2I
,31 [21 OJ,1 I
,35 [240],11⁄2 I
,41 [280],2 I
,44 [300],2 I
Bake Hardenable Steel,,
,26 [180],1⁄2I
,31 [210],1 I
,35 [240],11⁄2 I
,41 [280],2 I
,44 [300],2 I
equired Hardness Steel,,
,HRB 35-50,1⁄2I
,HRB 40-55,1 I
,HRB 45-60,11⁄2 I
,HRB 50-65,21
,HRB 55-70,21⁄2 I
,HRB 60-75,3 I
,HRB 65-80,31⁄2 t
,HRB 70-85,4 t
Full Hard Steel,,not applicable
