,,,,Ball,Ball,Ball
100.0,3.79,256.0,61.5,91.5,80.4,70.2
99.0,3.85,248.0,60.9,91.2,79.7,69.2
98.0,3.91,240.0,60.3,90.8,79.0,68.2
97.0,3.96,233.0,59.7,90.4,78.3,67.2
96.0,4.02,226.0,59.1,90.1,77.7,66.1
95.0,4.08,219.0,58.5,89.7,77.0,65.1
94.0,4.14,213.0,58.0,89.3,76.3,64.1
93.0,4.2,207.0,57.4,88.9,75.6,63.1
92.0,4.24,202.0,56.8,88.6,74.9,62.1
91.0,4.3,197.0,56.2,88.2,74.2,61.1
90.0,4.35,192.0,55.6,87.8,73.5,60.1
89.0,4.4,187.0,55.0,87.5,72.8,59.0
88.0,4.45,183.0,54.5,87.1,72.1,58.0
87.0,4.51,178.0,53.9,86.7,71.4,57.0
86.0,4.55,174.0,53.3,86.4,70.7,56.0
85.0,4.6,170.0,52.7,86.0,70.0,55.0
84.0,4.65,167.0,52.1,85.6,69.3,54.0
83.0,4.7,163.0,51.5,85.2,68.6,52.9
82.0,4.74,160.0,50.9,84.9,67.9,51.9
81.0,4.79,156.0,50.4,84.5,67.2,50.9
80.0,4.84,153.0,49.8,84.1,66.5,49.9
